form	token_urn	expanded_form	presentation_form
Γαῖ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:489.1.text.token2		Γαῖ’
Μοῖρ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:911.1.text.token4		Μοῖρ’
αἵματ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:66.1.text.token2		αἵματ’
αὐτίχ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:1020.2.text.token5		αὐτίχ’
αὖτ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:415.1.text.token3		αὖτ’
γένεθλ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:258.1.text.token3		γένεθλ’
γένοιτ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:204.1.text.token2		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:842.1.text.token1		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:1006.1.text.token1		γένοιτ’
γ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:198.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:439.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:499.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:921.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:994.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:1044.1.text.token3	γε	γε
δαίμον’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:119.1.text.token4		δαίμον’
δείξαθ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:984.1.text.token3		δείξαθ’
δεῦρ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:179.1.text.token4	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:583.1.text.token5	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:676.1.text.token5	δεῦρο	δεῦρο
δι’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:26.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:56.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:66.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:451.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:474.1.text.token1	διά	διά
δράκοντ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:527.1.text.token2		δράκοντ’
δέξαιτ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:566.1.text.token1		δέξαιτ’
δέσποτ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:157.1.text.token3		δέσποτ’
δίδασκ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:118.1.text.token4		δίδασκ’
δύστον’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:469.1.text.token2		δύστον’
δύ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:207.1.text.token3	δύο	δύο
δῆθ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:916.1.text.token2	δῆτα	δῆτα
δῶμ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:237.1.text.token3		δῶμ’
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:4.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:26.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:27.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:47.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:55.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:59.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:61.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:63.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:65.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:68.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:71.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:75.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:82.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg006.fu-sp.tok:123.1.text.token2	δέ	δέ
