form	token_urn	expanded_form	presentation_form
Δαρεῖ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:713.1.text.token4		Δαρεῖ’
Δωρίδ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:486.1.text.token2		Δωρίδ’
Μοῖρ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:93.1.text.token4		Μοῖρ’
αἰνέσατ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:643.1.text.token2		αἰνέσατ’
αἶ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:646.1.text.token2		αἶ’
αὔτ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:520.1.text.token4	αὔτε	αὔτε
βάγματ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:637.1.text.token3		βάγματ’
βάρβαρ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:635.1.text.token1		βάρβαρ’
γαῖ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:548.1.text.token7		γαῖ’
γοᾶσθ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:1073.1.text.token1		γοᾶσθ’
γυναῖκ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:181.1.text.token4		γυναῖκ’
γένοιτ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:212.1.text.token6		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:234.1.text.token3		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:438.1.text.token3		γένοιτ’
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:168.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:209.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:226.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:260.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:286.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:738.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:739.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:1023.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:1035.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:1044.1.text.token2	γε	γε
δαιμόνι’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:581.1.text.token1	δαιμόνιε	δαιμόνιε
δαίμον’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:602.1.text.token4		δαίμον’
δείματ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:210.1.text.token5		δείματ’
δεῦρ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:529.1.text.token6	δεῦρο	δεῦρο
διώλλυθ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:483.1.text.token1		διώλλυθ’
δι’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:1008.1.text.token3	διά	διά
δάι’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:257.1.text.token3		δάι’
δέκ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:429.1.text.token8		δέκ’
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:13.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:19.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:33.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:41.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:49.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:52.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:73.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:81.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:87.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:100.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:107.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:125.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:133.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:135.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:152.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:161.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:168.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:183.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:186.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0085.tlg002.fu-sp.tok:189.1.text.token6	δέ	δέ
