token_urn	surface_form	normalized_form	reason
// The pound sign "	" is used as a column divider.	" is used as a column divider.	no_match_in_morph_dict
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Euripides, Alcestis	Euripides, Alcestis	no_match_in_morph_dict
urn	urn:cite2:furman:cex.2026:aristophanes_project	urn:cite2:furman:cex.2026:aristophanes_project	no_match_in_morph_dict
license	Creative Commons Attribution Share Alike	Creative Commons Attribution Share Alike	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:	line/speech/speaker,line/speech/text	line/speech/speaker,line/speech/text	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:1.1.text.token3	Ἀδμήτει’	Ἀδμήτει’	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:9.1.text.token3	ἔσῳζον	ἔσῳζον	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:11.1.text.token2	Φέρητος	Φέρητος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:11.1.text.token5	θανεῖν	θανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:13.1.text.token2	ᾅδην	ᾅδην	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:18.1.text.token1	θανὼν	θανών	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:21.1.text.token1	θανεῖν	θανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:21.1.text.token2	πέπρωται	πέπρωται	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:25.1.text.token2	θανόντων	θανόντων	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:27.1.text.token5	θανεῖν	θανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:37.1.text.token2	προθανεῖν	προθανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:40.1.text.token1	σύνηθες	σύνηθες	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:46.1.text.token8	μέτα	μέτα	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:52.1.text.token4	Ἄλκηστις	Ἄλκηστις	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:59.1.text.token6	θανεῖν	θανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:65.1.text.token2	Φέρητος	Φέρητος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:66.1.text.token1	Εὐρυσθέως	Εὐρυσθέως	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:66.1.text.token4	μέτα	μέτα	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:67.1.text.token2	Θρῄκης	Θρῄκης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:71.1.text.token6	ἀπεχθήσῃ	ἀπεχθήσῃ	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:77.1.speaker.token1	Χορός	Χορός	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu-sp.tok:78.1.speaker.token1	Χορός	Χορός	no_match_in_morph_dict
