form	token_urn	expanded_form	presentation_form
Φιλοκτῆτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:432.1.text.token.3		Φιλοκτῆτ’
αἰσχύνοιτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1383.1.text.token.4		αἰσχύνοιτ’
αἱρήσοιμ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:353.1.text.token.5		αἱρήσοιμ’
αἴσχιστ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:909.1.text.token.8		αἴσχιστ’
αὐτίχ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:14.1.text.token.5		αὐτίχ’
αὔθ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1022.1.text.token.2	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:64.1.text.token.2	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:373.1.text.token.3	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:670.1.text.token.4	αὔτε	αὔτε
βαρυβρῶτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:693.1.text.token.5		βαρυβρῶτ’
βλέπουσ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1013.1.text.token.7		βλέπουσ’
βλέπ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:862.1.text.token.3		βλέπ’
βουλεύματ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:555.1.text.token.1		βουλεύματ’
βούλευμ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:560.1.text.token.3		βούλευμ’
γνῶθ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1165.1.text.token.2		γνῶθ’
γνῶθ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1165.1.text.token.5		γνῶθ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:306.1.text.token.4		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:673.1.text.token.2		γένοιτ’
γίγνοιτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:116.1.text.token.3		γίγνοιτ’
γίγνοιτ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:346.1.text.token.4		γίγνοιτ’
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:29.1.text.token.6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:35.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:38.1.text.token.6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:105.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:106.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:107.1.text.token.6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:117.1.text.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:231.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:246.1.text.token.8	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:250.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:327.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:413.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:419.1.text.token.6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:441.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:446.1.text.token.7	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:559.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:570.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:600.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:658.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:663.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:674.1.text.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:762.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:811.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:812.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:977.1.text.token.7	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:999.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1037.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1053.1.text.token.8	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1056.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1211.1.text.token.6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1247.1.text.token.6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1277.2.text.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1282.1.text.token.2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1293.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1296.2.text.token.6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1305.1.text.token.4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1385.1.text.token.5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1392.1.text.token.3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1393.1.text.token.9	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1403.2.text.token.3	γε	γε
δαῖθ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:957.1.text.token.3		δαῖθ’
δεδράκασ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:315.1.text.token.4		δεδράκασ’
δεδώκασ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:372.1.text.token.5		δεδώκασ’
δειράδ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:491.1.text.token.3		δειράδ’
δείν’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:504.1.text.token.7		δείν’
δεύτερ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1442.1.text.token.4		δεύτερ’
δεῦρ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:126.1.text.token.2	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:1220.1.text.token.4	δεῦρο	δεῦρο
δι’	urn:cts:greekLit:tlg0011.tlg006.fu.sp:19.1.text.token.1	διά	διά
