urn:cts:greekLit:tlg0019.tlg009.fu.sp:58.1.text.token.1	μὴ	mh\	μὴ	mh\	urn:cite2:hmt:lsj.chicago_md:n67283	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:58.1.text.token.2	σκῶπτέ	skw=pte/	σκώπτω	skw/ptw	urn:cite2:hmt:lsj.chicago_md:n95432	v2spma---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:58.1.text.token.3	μ’	m'	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:58.1.text.token.4	ὦδέλφε	w)=de/lfe	ἀδελφός	a)delfo/s	urn:cite2:hmt:lsj.chicago_md:n1211	n-s---mv-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:58.1.text.token.6	οὐ	ou)	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:58.1.text.token.7	γάρ	ga/r	γάρ	ga/r	urn:cite2:hmt:lsj.chicago_md:n21618	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:58.1.text.token.8	ἀλλ’	a)ll'	ἀλλά	a)lla/	urn:cite2:hmt:lsj.chicago_md:n4357	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:58.1.text.token.9	ἔχω	e)/xw	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v1spia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:59.1.text.token.1	τοιοῦτος	toiou=tos	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-s---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:59.1.text.token.2	ἵμερός	i(/mero/s	ἵμερος	i(/meros	urn:cite2:hmt:lsj.chicago_md:n50478	n-s---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:59.1.text.token.3	με	me	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:59.1.text.token.4	διαλυμαίνεται	dialumai/netai	διαλυμαίνομαι	dialumai/nomai	urn:cite2:hmt:lsj.chicago_md:n25184	v3spie---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:60.1.text.token.1	ποῖός	poi=o/s	ποῖος	poi=os	urn:cite2:hmt:lsj.chicago_md:n84363	a-s---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:60.1.text.token.2	τις	tis	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:60.2.text.token.1	οὐκ	ou)k	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:60.2.text.token.2	ἔχω	e)/xw	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v1spia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:60.2.text.token.3	φράσαι	fra/sai	φράζω	fra/zw	urn:cite2:hmt:lsj.chicago_md:n112217	v--ana---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:61.1.text.token.1	ὅμως	o(/mws	ὅμως	o(/mws	urn:cite2:hmt:lsj.chicago_md:n73980	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:61.1.text.token.2	γε	ge	γε	ge	urn:cite2:hmt:lsj.chicago_md:n21705	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:61.1.text.token.3	μέντοι	me/ntoi	μέντοι	me/ntoi	urn:cite2:hmt:lsj.chicago_md:n66291a	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:61.1.text.token.4	σοι	soi	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----d-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:61.1.text.token.5	δι’	di'	διά	dia/	urn:cite2:hmt:lsj.chicago_md:n24517	r--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:61.1.text.token.6	αἰνιγμῶν	ai)nigmw=n	αἰνιγμός	ai)nigmo/s	urn:cite2:hmt:lsj.chicago_md:n2527	n-p---mg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:61.1.text.token.7	ἐρῶ	e)rw=	ἐρῶ	e)rw=	urn:cite2:hmt:lsj.chicago_md:n42830	v1sfia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:62.1.text.token.1	ἤδη	h)/dh	ἤδη	h)/dh	urn:cite2:hmt:lsj.chicago_md:n46646	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:62.1.text.token.2	ποτ’	pot'	ποτέ	pote/	urn:cite2:hmt:lsj.chicago_md:n85971a	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:62.1.text.token.3	ἐπεθύμησας	e)pequ/mhsas	ἐπιθυμέω	e)piqume/w	urn:cite2:hmt:lsj.chicago_md:n39482	v2saia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:62.1.text.token.4	ἐξαίφνης	e)cai/fnhs	ἐξαίφνης	e)cai/fnhs	urn:cite2:hmt:lsj.chicago_md:n36588	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:62.1.text.token.5	ἔτνους	e)/tnous	ἔτνος	e)/tnos	urn:cite2:hmt:lsj.chicago_md:n43272	n-s---ng-
