Βραυρωνίας	*braurw/nios	none-found	a-p---fa-
Βραυρωνίας	*braurw/nios	none-found	a-s---fg-
Γαῖα	*gai=on	none-found	n-p---nn-
Γαῖα	*gai=on	none-found	n-p---nv-
Γαῖα	*gai=on	none-found	n-p---na-
Δαναΐδαι	*danai/dai	none-found	n-p---mn-
Δαναΐδαι	*danai/dai	none-found	n-p---mv-
Δαναΐδαι	*danai/dai	none-found	n-s---md-
Δηλιάς	*dhlia/s	none-found	n-s---fn-
Διοσκόρω	*diosko/ros	none-found	n-s---mg-
Δία	*di/h	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fv-
Δίρκας	*di/rkh	none-found	n-p---fa-
Δίρκας	*di/rkh	none-found	n-s---fg-
Εὐρώπαν	*eu)rw/phs	none-found	n-s---ma-
Εὐρώπας	*eu)rw/phs	none-found	n-p---ma-
Εὐρώπας	*eu)rw/phs	none-found	n-s---mn-
Θόας	*qo/h	none-found	n-s---fg-
Καρυστίας	*karu/stios	none-found	a-p---fa-
Καρυστίας	*karu/stios	none-found	a-s---fg-
Κλυταιμήστρα	*klutaimnh/stra	none-found	n-d---fn-
Κλυταιμήστρα	*klutaimnh/stra	none-found	n-d---fv-
Κλυταιμήστρα	*klutaimnh/stra	none-found	n-d---fa-
Κλυταιμήστρα	*klutaimnh/stra	none-found	n-s---fn-
Κλυταιμήστρα	*klutaimnh/stra	none-found	n-s---fv-
Κλυταιμήστρας	*klutaimnh/stra	none-found	n-p---fa-
Κλυταιμήστρας	*klutaimnh/stra	none-found	n-s---fg-
Κυκλωπίς	*kuklwpi/s	none-found	n-s---fn-
Λήδας	*lh/dh	none-found	n-s---fg-
Μούσας	*mou=sai	none-found	n-p---fa-
Μούσας	*mou=sai	none-found	n-s---fg-
Μούσας	*mou=sai	none-found	n-p---fa-
Μούσας	*mou=sai	none-found	n-s---fg-
Μυκηναίοις	*mukhnai=os	none-found	a-p---md-
Μυκηναίοις	*mukhnai=os	none-found	a-p---nd-
Ναυπλία	*nauplieu/s	none-found	a-d---fn-
Ναυπλία	*nauplieu/s	none-found	a-d---fv-
Ναυπλία	*nauplieu/s	none-found	a-d---fa-
Ναυπλία	*nauplieu/s	none-found	a-s---fn-
Ναυπλία	*nauplieu/s	none-found	a-s---fv-
Οἰνομάου	*oi)no/maos	none-found	n-s---mg-
Οἰνόμαον	*oi)no/maos	none-found	n-s---ma-
Παρνάσιον	*parna/sios	none-found	a-s---ma-
Παρνάσιον	*parna/sios	none-found	a-s---nn-
Παρνάσιον	*parna/sios	none-found	a-s---nv-
Παρνάσιον	*parna/sios	none-found	a-s---na-
Παρνάσιον	*parna/sios	none-found	n-s---ma-
Παρνάσιον	*parna/sios	none-found	n-s---fa-
Παρνάσιον	*parna/sios	none-found	n-s---nn-
Παρνάσιον	*parna/sios	none-found	n-s---nv-
Παρνάσιον	*parna/sios	none-found	n-s---na-
Πελοπιδῶν	*pelopi/dhs	none-found	n-p---mg-
Πελοπίδαις	*pelopi/dhs	none-found	n-p---md-
Πισάτιδα	*pisa/ths	none-found	n-s---fa-
Πισάτιδα	*pisa=tis	none-found	n-s---fa-
Πυθίων	*puqi/wn	none-found	n-s---mn-
Πυθίων	*puqi/wn	none-found	n-s---mv-
Πυλάδη	*pula/dhs	none-found	n-s---mv-
Πυλάδης	*pula/dhs	none-found	n-s---mn-
Τυνδαρείας	*tunda/reios	none-found	a-p---fa-
Τυνδαρείας	*tunda/reios	none-found	a-s---fg-
Τυνδαρίς	*tunda/rews	none-found	n-s---fn-
Τυνδαρίς	*tundari/s	none-found	n-s---fn-
Φινεϊδᾶν	*finei/dhs	none-found	n-p---mg-
βαρβάρου	barbaro/w	none-found	v2spma---
βαρβάρου	barbaro/w	none-found	v3siia---
βαρβάρους	barbaro/w	none-found	v2siia---
