Γαῖα	*gai=a	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fn-
Γαῖα	*gai=a	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fv-
Γαῖα	*gai=a	γαῖα	gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fn-
Γαῖα	*gai=a	γαῖα	gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fv-
Δημήτερα	*dhmh/tera	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fa-
Δημήτερι	*dhmh/teri	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fd-
Δημήτερος	*dhmh/teros	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fg-
Δημήτηρ	*dhmh/thr	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fn-
Δημώ	*dhmw/	δημός	dhmo/s	urn:cite2:hmt:lsj.chicago_md:n24437	n-d---mn-
Δημώ	*dhmw/	δημός	dhmo/s	urn:cite2:hmt:lsj.chicago_md:n24437	n-d---mv-
Δημώ	*dhmw/	δημός	dhmo/s	urn:cite2:hmt:lsj.chicago_md:n24437	n-d---ma-
Δηοῖ	*dhoi=	Δηώ	*dhw/	urn:cite2:hmt:lsj.chicago_md:n24513	n-s----g-
Δηοῖ	*dhoi=	Δηώ	*dhw/	urn:cite2:hmt:lsj.chicago_md:n24513	n-s----d-
Δηώ	*dhw/	Δηώ	*dhw/	urn:cite2:hmt:lsj.chicago_md:n24513	n-s---fn-
Διί	*dii/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---md-
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Δολίχου	*doli/xou	δόλιχος	do/lixos	urn:cite2:hmt:lsj.chicago_md:n27922	n-s---mg-
Δήμητερ	*dh/mhter	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fv-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fg-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fa-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fd-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-p---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-p---fv-
Εὐμόλποιο	*eu)mo/lpoio	εὔμολπος	eu)/molpos	urn:cite2:hmt:lsj.chicago_md:n44508	n-s---mg-
Εὐμόλποιο	*eu)mo/lpoio	εὔμολπος	eu)/molpos	urn:cite2:hmt:lsj.chicago_md:n44508	n-s---fg-
Εὐμόλποιο	*eu)mo/lpoio	εὔμολπος	eu)/molpos	urn:cite2:hmt:lsj.chicago_md:n44508	n-s---ng-
Εὐμόλπου	*eu)mo/lpou	εὔμολπος	eu)/molpos	urn:cite2:hmt:lsj.chicago_md:n44508	n-s---mg-
Εὐμόλπου	*eu)mo/lpou	εὔμολπος	eu)/molpos	urn:cite2:hmt:lsj.chicago_md:n44508	n-s---fg-
Εὐμόλπου	*eu)mo/lpou	εὔμολπος	eu)/molpos	urn:cite2:hmt:lsj.chicago_md:n44508	n-s---ng-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζηνί	*zhni/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---md-
Καλλιχόρου	*kallixo/rou	καλλίχορος	kalli/xoros	urn:cite2:hmt:lsj.chicago_md:n52767	n-s---mg-
Καλλιχόρου	*kallixo/rou	καλλίχορος	kalli/xoros	urn:cite2:hmt:lsj.chicago_md:n52767	n-s---fg-
Καλλιχόρου	*kallixo/rou	καλλίχορος	kalli/xoros	urn:cite2:hmt:lsj.chicago_md:n52767	n-s---ng-
Καλυψώ	*kaluyw/	Καλυψώ	*kaluyw/	urn:cite2:hmt:lsj.chicago_md:n52898	n-s---fn-
Κελεοῖο	*keleoi=o	κελεός	keleo/s	urn:cite2:hmt:lsj.chicago_md:n56472	n-s---mg-
Κελεῷ	*kelew=|	κελεός	keleo/s	urn:cite2:hmt:lsj.chicago_md:n56472	n-s---md-
Κρονίδαο	*kroni/dao	Κρονίδης	*kroni/dhs	urn:cite2:hmt:lsj.chicago_md:n60123	n-s---mg-
Κρονίδεω	*kroni/dew	Κρονίδης	*kroni/dhs	urn:cite2:hmt:lsj.chicago_md:n60123	n-s---mg-
Κρονίδην	*kroni/dhn	Κρονίδης	*kroni/dhs	urn:cite2:hmt:lsj.chicago_md:n60123	n-s---ma-
Κρονίωνι	*kroni/wni	Κρονίων	*kroni/wn	urn:cite2:hmt:lsj.chicago_md:n60127	n-s---md-
Κρόνου	*kro/nou	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mg-
Μηλόβοσίς	*mhlo/bosi/s	μηλόβοσις	mhlo/bosis	urn:cite2:hmt:lsj.chicago_md:n67400	n-s---fn-
Νύσιον	*nu/sion	Νῦσα	*nu=sa	urn:cite2:hmt:lsj.chicago_md:n71318	a-s---ma-
Νύσιον	*nu/sion	Νῦσα	*nu=sa	urn:cite2:hmt:lsj.chicago_md:n71318	a-s---nn-
Νύσιον	*nu/sion	Νῦσα	*nu=sa	urn:cite2:hmt:lsj.chicago_md:n71318	a-s---nv-
Νύσιον	*nu/sion	Νῦσα	*nu=sa	urn:cite2:hmt:lsj.chicago_md:n71318	a-s---na-
Οὐλύμποιο	*ou)lu/mpoio	Ὄλυμπος	*)/olumpos	urn:cite2:hmt:lsj.chicago_md:n73355	n-s---mg-
Οὐρανιώνων	*ou)raniw/nwn	Οὐρανίωνες	*ou)rani/wnes	urn:cite2:hmt:lsj.chicago_md:n75929	n-p---mg-
Οὐρανίη	*ou)rani/h	Οὐρανία	*ou)rani/a	urn:cite2:hmt:lsj.chicago_md:n75921	n-s---fn-
Οὐρανίη	*ou)rani/h	Οὐρανία	*ou)rani/a	urn:cite2:hmt:lsj.chicago_md:n75921	n-s---fv-
Οὐρανίη	*ou)rani/h	οὐράνιος	ou)ra/nios	urn:cite2:hmt:lsj.chicago_md:n75926	a-s---fn-
Οὐρανίη	*ou)rani/h	οὐράνιος	ou)ra/nios	urn:cite2:hmt:lsj.chicago_md:n75926	a-s---fv-
Παλλάς	*palla/s	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77017	n-s---fn-
Παρθενίῳ	*parqeni/w|	παρθένιον	parqe/nion	urn:cite2:hmt:lsj.chicago_md:n79587	n-s---nd-
Παρθενίῳ	*parqeni/w|	παρθένιος	parqe/nios	urn:cite2:hmt:lsj.chicago_md:n79588	a-s---md-
Παρθενίῳ	*parqeni/w|	παρθένιος	parqe/nios	urn:cite2:hmt:lsj.chicago_md:n79588	a-s---nd-
Παρθενίῳ	*parqeni/w|	παρθένιος	parqe/nios	urn:cite2:hmt:lsj.chicago_md:n79588	n-s---md-
Παρθενίῳ	*parqeni/w|	παρθένιος	parqe/nios	urn:cite2:hmt:lsj.chicago_md:n79588	n-s---fd-
Παρθενίῳ	*parqeni/w|	παρθένιος	parqe/nios	urn:cite2:hmt:lsj.chicago_md:n79588	n-s---nd-
Περσεφονείῃ	*persefonei/h|	Περσεφόνεια	*persefo/neia	urn:cite2:hmt:lsj.chicago_md:n82662	n-s---fd-
Περσεφόνεια	*persefo/neia	Περσεφόνεια	*persefo/neia	urn:cite2:hmt:lsj.chicago_md:n82662	n-s---fn-
Περσεφόνεια	*persefo/neia	Περσεφόνεια	*persefo/neia	urn:cite2:hmt:lsj.chicago_md:n82662	n-s---fv-
