Δαυλίας	*dauli/a	none-found	n-p---fa-
Δαυλίας	*dauli/a	none-found	n-s---fg-
Δελφίς	*delfiko/s	none-found	n-s---fn-
Θηβαῖος	*qhbai=os	none-found	a-s---mn-
Θρῄκιον	*qrh/|kios	none-found	a-s---ma-
Θρῄκιον	*qrh/|kios	none-found	a-s---nn-
Θρῄκιον	*qrh/|kios	none-found	a-s---nv-
Θρῄκιον	*qrh/|kios	none-found	a-s---na-
Θήβας	*qh/bh	none-found	n-s---fg-
Θήβης	*qh/bh	none-found	n-s---fg-
Καδμείοις	*kadmei=os	none-found	a-p---md-
Καδμείοις	*kadmei=os	none-found	a-p---nd-
Καδμείοις	*kadmei=os	none-found	a-p---md-
Καδμείοις	*kadmei=os	none-found	a-p---nd-
Καδμείοισι	*kadmei=os	none-found	a-p---md-
Καδμείοισι	*kadmei=os	none-found	a-p---nd-
Καδμείοισι	*kadmei=os	none-found	a-p---md-
Καδμείοισι	*kadmei=os	none-found	a-p---nd-
Καδμεῖον	*kadmei=os	none-found	a-s---ma-
Καδμεῖον	*kadmei=os	none-found	a-s---nn-
Καδμεῖον	*kadmei=os	none-found	a-s---nv-
Καδμεῖον	*kadmei=os	none-found	a-s---na-
Κιθαιρών	*kiqairw/n	none-found	n-s---mn-
Κιθαιρών	*kiqairw/n	none-found	n-s---mv-
Κιθαιρῶνος	*kiqairw/n	none-found	n-s---mg-
Λαβδακίδαις	*labdaki/dai-pl	none-found	n-p---md-
Λαβδάκου	*la/bdakos	none-found	n-s---mg-
Λαΐου	*lai/+hs	none-found	n-s---mg-
Λύκει’	*lukei/h	none-found	n-p---fn-
Λύκει’	*lukei/h	none-found	n-p---fv-
Μενοικέως	*menoikeu/s	none-found	n-s---mg-
Μενοικέως	*menoikeu/s	none-found	n-s---mg-
Μενοικέως	*menoikeu/s	none-found	n-s---mn-
Μερόπη	*mero/ph	none-found	n-s---fn-
Μερόπη	*mero/ph	none-found	n-s---fv-
Μερόπης	*mero/ph	none-found	n-s---fg-
Νυμφᾶν	*nu/mfai	none-found	n-p---fg-
Πολύβου	*po/lubos	none-found	n-s---mg-
Πόλυβε	*po/lubos	none-found	n-s---mv-
Πόλυβον	*po/lubos	none-found	n-s---ma-
Πόλυβος	*po/lubos	none-found	n-s---mn-
Τειρεσία	*teiresi/as	none-found	n-s---mv-
Τειρεσία	*teiresi/as	none-found	n-s---mv-
Τειρεσία	*teiresi/as	none-found	n-s---mg-
Τειρεσία	*teiresi/as	none-found	n-s---mn-
Τειρεσίαν	*teiresi/as	none-found	n-s---ma-
Τειρεσίαν	*teiresi/as	none-found	n-s---ma-
αἰκίσῃ	ai)ki/zomai	none-found	v2sase---
αἰκίσῃ	ai)ki/zomai	none-found	v2sfie---
βοᾷ	boei/h	none-found	n-s---fd-
βοῆς	boei/h	none-found	n-s---fg-
γαμψώνυχα	gamyw/nuxos	none-found	n-p---nn-
γαμψώνυχα	gamyw/nuxos	none-found	n-p---nv-
γαμψώνυχα	gamyw/nuxos	none-found	n-p---na-
γεννητῶν	gennh=tai	none-found	n-p---mg-
διαπωτᾶται	dia/-pwta/omai	none-found	v3spse---
διαπωτᾶται	dia/-pwta/omai	none-found	v3spie---
διώρισαν	dia/-o(ri/zw	none-found	v3paia---
διώρισαν	dia/-w(ri/zw	none-found	v3paia---
διώρισαν	dia/-w(ri/zw	none-found	v3paia---
διώρισαν	dia/-w)ri/zw	none-found	v3paia---
διώρισαν	dia/-w)ri/zw	none-found	v3paia---
δοκῶ	doko/n	none-found	n-s---ng-
δοκῶν	doko/n	none-found	n-p---ng-
δωμάτων	dwmato/w	none-found	v3piia---
δωμάτων	dwmato/w	none-found	v1siia---
εἰσιδεῖν	ei)s-i)de/w	none-found	v--pna---
εἰσέδυ	ei)sdu/nw	none-found	v3saia---
εὔνους	eu)/nous	none-found	n-p---mn-
εὔνους	eu)/nous	none-found	n-p---fn-
εὔνους	eu)/nous	none-found	n-s---mn-
εὔνους	eu)/nous	none-found	n-s---mv-
εὔνους	eu)/nous	none-found	n-s---fn-
εὔνους	eu)/nous	none-found	n-s---fv-
θανεῖν	qnh/skw	none-found	v--ana---
θανόντι	qnh/skw	none-found	v-sapamd-
θανόντι	qnh/skw	none-found	v-sapand-
θανόντος	qnh/skw	none-found	v-sapamg-
θανόντος	qnh/skw	none-found	v-sapang-
θανών	qnh/skw	none-found	v-sapamn-
θνῄσκειν	qnh/skw	none-found	v--pna---
θνῄσκουσι	qnh/skw	none-found	v-pppamd-
θνῄσκουσι	qnh/skw	none-found	v-pppand-
θνῄσκουσι	qnh/skw	none-found	v3ppia---
θνῄσκων	qnh/skw	none-found	v-sppamn-
θάνοι	qnh/skw	none-found	v3saoa---
θάνω	qnh/skw	none-found	v1sasa---
θάσσει	qa/zw	none-found	v3sasa---
θάσσει	qa/zw	none-found	v2sfim---
θάσσει	qa/zw	none-found	v3sfia---
κακῇ	kaka/zw	none-found	v2sfim---
κακῇ	kaka/zw	none-found	v3sfia---
κακῶν	kaka/zw	none-found	v-sfpamv-
κακῶν	kaka/zw	none-found	v-sfpann-
κακῶν	kaka/zw	none-found	v-sfpanv-
κακῶν	kaka/zw	none-found	v-sfpana-
κακῶν	kaka/zw	none-found	v-sfpamn-
κακῷ	kaka/zw	none-found	v3sfoa---
καίτοι	kai/toi	none-found	g--------
κἀπεδείξατε	e)pidei/knumi	none-found	v2paia---
κάλλιστα	ka/llista	none-found	d--------
κάτω	kato/w	none-found	v2spma---
κάτω	kato/w	none-found	v3siia---
λίσσομαι	li/zw	none-found	v1sasm---
λίσσομαι	li/zw	none-found	v1sfim---
λῷστα	lw=|stos	none-found	a-p---nn-
λῷστα	lw=|stos	none-found	a-p---nv-
λῷστα	lw=|stos	none-found	a-p---na-
λῷστά	lw=|stos	none-found	a-p---nn-
λῷστά	lw=|stos	none-found	a-p---nv-
λῷστά	lw=|stos	none-found	a-p---na-
ματεύσῃς	mate/w	none-found	v-pppafd-
ματᾴζων	matai/zw	none-found	v-sppamn-
μιγῆναι	mi/gnumi	none-found	v--anp---
μιγῆναι	mi/gnumi	none-found	v--anp---
μιχθῆναι	mi/gnumi	none-found	v--anp---
μορφῆς	morfa/w	none-found	v2spia---
μορφῆς	morfa/w	none-found	v2spia---
μάλισθ’	ma/lista	none-found	d--------
μάλιστα	ma/lista	none-found	d--------
μάλιστά	ma/lista	none-found	d--------
μάλιστ’	ma/lista	none-found	d--------
ξυνηυνάσθησαν	suneuna/zomai	none-found	v3paip---
οὔθ’	ou)/ti	none-found	d--------
πειστέον	peiste/os	none-found	n-s---ma-
πειστέον	peiste/os	none-found	n-s---fa-
πειστέον	peiste/os	none-found	n-s---nn-
πειστέον	peiste/os	none-found	n-s---nv-
πειστέον	peiste/os	none-found	n-s---na-
περιίδῃς	peri/-ei)=don	none-found	v2sasa---
πιθοίμην	piqe/w	none-found	v1spoe---
πιθοῦ	piqe/w	none-found	v2spme---
πονεῖ	pone/omai	none-found	v2spie---
πορεῖν	po/rw	none-found	v--ana---
προστέψομαι	pro/-ste/fw	none-found	v1sasm---
προστέψομαι	pro/-ste/fw	none-found	v1sfim---
προυξένησαν	pro+ece/nhsan	none-found	v3paia---
προυξένησαν	pro+ece/nhsan	none-found	v3paia---
προυξένησαν	pro+ece/nhsan	none-found	v3paia---
προυφάνης	pro/-u(fana/w	none-found	v2siia---
προυφάνης	pro/-u(fana/w	none-found	v2siia---
προυφάνης	pro/-u(fana/w	none-found	v2siia---
προυφάνης	pro/-u(fana/w	none-found	v2spia---
προυφάνης	pro/-u(fana/w	none-found	v2siia---
προύφηνεν	pro/-u(fai/nw	none-found	v3saia---
προύφηνεν	pro/-u(fai/nw	none-found	v3saia---
προύχοις	pro/-u(ssw	none-found	v2sroa---
πάτρας	pa/trh	none-found	n-p---fa-
πάτρας	pa/trh	none-found	n-s---fg-
πόρῃς	po/rw	none-found	v2sasa---
σοῖς	se/w	none-found	v2spoa---
σοῖσιν	se/w	none-found	v-pppamd-
σοῖσιν	se/w	none-found	v-pppand-
σοῦ	se/w	none-found	v2spme---
σοῦ	se/w	none-found	v2siie---
σταθμᾶσθαι	staqma/omai	none-found	v--pne---
σχεῖν	sxa/w	none-found	v--pna---
σάν	sa/n	none-found	x--------
σέβω	se/bw	none-found	v1spsa---
σέβω	se/bw	none-found	v1spia---
σέβων	se/bw	none-found	v-sppamn-
σῆς	se/w	none-found	v2spia---
σῆς	se/w	none-found	v2siia---
σῇ	se/w	none-found	v2spse---
σῇ	se/w	none-found	v2spie---
σῇ	se/w	none-found	v3spsa---
σῶν	se/w	none-found	v-sppamn-
τεθνηκότος	qnh/skw	none-found	v-srpamg-
τεθνηκότος	qnh/skw	none-found	v-srpang-
τοὔνδικον	o)/ndikos	none-found	n-s---ma-
τοὔνδικον	o)/ndikos	none-found	n-s---fa-
τοὔνδικον	o)/ndikos	none-found	n-s---nn-
τοὔνδικον	o)/ndikos	none-found	n-s---nv-
τοὔνδικον	o)/ndikos	none-found	n-s---na-
τοὔργον	e)/rgnumi	none-found	v-sppamv-
τοὔργον	e)/rgnumi	none-found	v-sppann-
τοὔργον	e)/rgnumi	none-found	v-sppanv-
τοὔργον	e)/rgnumi	none-found	v-sppana-
τάχισθ’	ta/xistos	none-found	a-p---nn-
τάχισθ’	ta/xistos	none-found	a-p---nv-
τάχισθ’	ta/xistos	none-found	a-p---na-
τάχισθ’	ta/xistos	none-found	a-s---mv-
τάχισθ’	ta/xistos	none-found	a-p---fn-
τάχισθ’	ta/xistos	none-found	a-p---fv-
τάχιστα	ta/xistos	none-found	a-p---nn-
τάχιστα	ta/xistos	none-found	a-p---nv-
