urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.1	Εἴπω	*ei)/pw	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v1sasa---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.2	τι	ti	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.3	τῶν	tw=n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---ng-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.4	εἰωθότων	ei)wqo/twn	ἔθω	e)/qw	urn:cite2:hmt:lsj.chicago_md:n30814	v-prpang-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.5	ὦ	w)=	ὦ	w)=	urn:cite2:hmt:lsj.chicago_md:n116027	x--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:1.1.text.token.6	δέσποτα	de/spota	δεσπότης	despo/ths	urn:cite2:hmt:lsj.chicago_md:n24206	n-s---mv-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:10.1.text.token.1	εἰ	ei)	εἰ	ei)	urn:cite2:hmt:lsj.chicago_md:n30817	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:10.1.text.token.2	μή	mh/	μή	mh/	urn:cite2:hmt:lsj.chicago_md:n67283	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:10.1.text.token.3	καθαιρήσει	kaqairh/sei	καθαιρέω	kaqaire/w	urn:cite2:hmt:lsj.chicago_md:n51661	v3sfia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:10.1.text.token.4	τις	tis	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:10.1.text.token.6	ἀποπαρδήσομαι	a)popardh/somai	πέρδομαι	pe/rdomai	urn:cite2:hmt:lsj.chicago_md:n81011	v1sfim---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:100.1.text.token.1	αἰθέρα	ai)qe/ra	αἰθήρ	ai)qh/r	urn:cite2:hmt:lsj.chicago_md:n2324	n-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:100.1.text.token.2	Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:100.1.text.token.3	δωμάτιον	dwma/tion	δωμάτιον	dwma/tion	urn:cite2:hmt:lsj.chicago_md:n29774	n-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:100.1.text.token.5	ἤ	h)/	ἤ1	h)/	urn:cite2:hmt:lsj.chicago_md:n46568	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:100.1.text.token.6	χρόνου	xro/nou	χρόνος	xro/nos	urn:cite2:hmt:lsj.chicago_md:n114753	n-s---mg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:100.1.text.token.7	πόδα	po/da	πούς	pou/s	urn:cite2:hmt:lsj.chicago_md:n86108	n-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:101.1.text.token.1	ἤ	h)/	ἤ1	h)/	urn:cite2:hmt:lsj.chicago_md:n46568	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:101.1.text.token.2	φρένα	fre/na	φρήν	frh/n	urn:cite2:hmt:lsj.chicago_md:n112307	n-s---fa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:101.1.text.token.3	μέν	me/n	μέν	me/n	urn:cite2:hmt:lsj.chicago_md:n66260	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:101.1.text.token.4	οὐκ	ou)k	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:101.1.text.token.5	ἐθέλουσαν	e)qe/lousan	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-sppafa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:101.1.text.token.6	ὀμόσαι	o)mo/sai	ὄμνυμι	o)/mnumi	urn:cite2:hmt:lsj.chicago_md:n73530	v--ana---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:101.1.text.token.7	καθ’	kaq'	κατά	kata/	urn:cite2:hmt:lsj.chicago_md:n53647	r--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:101.1.text.token.8	ἱερῶν	i(erw=n	ἱερά	i(era/	urn:cite2:hmt:lsj.chicago_md:n49955	n-p---fg-
