Αἰακοῦ	*ai)ako/s	none-found	n-s---mg-
Γοργῶπις	gorgw=pis	none-found	n-s---fn-
Δαναΐδαις	*danai/dai	none-found	n-p---md-
Δαναῶν	*danao/s	none-found	n-p---mg-
Δαρδανίας	*darda/nios	none-found	a-p---fa-
Δαρδανίας	*darda/nios	none-found	a-s---fg-
Δαρδανίας	*dardani/a	none-found	n-p---fa-
Δαρδανίας	*dardani/a	none-found	n-s---fg-
Διοσκόρω	*diosko/ros	none-found	n-s---mg-
Εὐβοικά	*eu)boiko/s	none-found	a-p---nn-
Εὐβοικά	*eu)boiko/s	none-found	a-p---nv-
Εὐβοικά	*eu)boiko/s	none-found	a-p---na-
Εὐβοικά	*eu)boiko/s	none-found	a-d---fn-
Εὐβοικά	*eu)boiko/s	none-found	a-d---fv-
Εὐβοικά	*eu)boiko/s	none-found	a-d---fa-
Εὐβοικά	*eu)boiko/s	none-found	a-s---fn-
Εὐβοικά	*eu)boiko/s	none-found	a-s---fv-
Θεοκλύμενε	*qeoklu/menos	none-found	n-s---mv-
Θεοκλύμενον	*qeoklu/menos	none-found	n-s---ma-
Θεοκλύμενος	*qeoklu/menos	none-found	n-s---mn-
Θεονόη	*qeono/h	none-found	n-s---fn-
Θεονόη	*qeono/h	none-found	n-s---fv-
Θεονόην	*qeono/h	none-found	n-s---fa-
Θεονόης	*qeono/h	none-found	n-s---fg-
Θεστιάς	*qestia/s	none-found	n-s---fn-
Καλλιστοῖ	*kallistw/	none-found	n-s---fd-
Καφηρίσιν	*kafhri/s	none-found	n-p---fd-
Λήδα	*lh/dh	none-found	n-s---fn-
Λήδα	*lh/dh	none-found	n-s---fv-
Λήδαν	*lh/dh	none-found	n-s---fa-
Λήδας	*lh/dh	none-found	n-s---fg-
Μοῦσαί	*mou=sai	none-found	n-p---fn-
Μοῦσαί	*mou=sai	none-found	n-p---fv-
Μοῦσαί	*mou=sai	none-found	n-p---fn-
Μοῦσαί	*mou=sai	none-found	n-p---fv-
Μάλεα	*ma/lhs	none-found	n-s---ma-
Ναυπλίας	*nauplieu/s	none-found	a-p---fa-
Ναυπλίας	*nauplieu/s	none-found	a-s---fg-
Ναυπλίου	*nauplieu/s	none-found	a-s---mg-
Ναυπλίου	*nauplieu/s	none-found	a-s---ng-
Νυμφᾶν	*nu/mfai	none-found	n-p---fg-
Νύμφα	*nu/mfai	none-found	n-d---fn-
Νύμφα	*nu/mfai	none-found	n-d---fv-
Νύμφα	*nu/mfai	none-found	n-d---fa-
