Βοσπόριαι	*bospori/a	none-found	n-p---fn-
Βοσπόριαι	*bospori/a	none-found	n-p---fv-
Διρκαίων	*dirkai=os	none-found	a-p---fg-
Διρκαίων	*dirkai=os	none-found	a-p---mg-
Διρκαίων	*dirkai=os	none-found	a-p---ng-
Διρκαίων	di/rkaion	none-found	n-p---ng-
Διρκαῖαι	*dirkai=os	none-found	a-p---fn-
Διρκαῖαι	*dirkai=os	none-found	a-p---fv-
Δία	*di/h	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fv-
Εὐρυδίκην	*eu)rudi/kh	none-found	n-s---fa-
Θηβαΐας	*qhbai=os	none-found	a-p---fa-
Θηβαΐας	*qhbai=os	none-found	a-s---fg-
Θρῃκῶν	*qra|ki/a	none-found	n-p---fg-
Θυίαισιν	*qui/h	none-found	n-p---fd-
Θήβαν	*qh/bh	none-found	n-s---fa-
Θήβας	*qh/bh	none-found	n-s---fg-
Θήβης	*qh/bh	none-found	n-s---fg-
Θήβᾳ	*qh/bh	none-found	n-s---fd-
Καδμείαν	*kadmei=os	none-found	a-s---fa-
Καδμείαν	*kadmei=os	none-found	a-s---fa-
Καδμείας	*kadmei=os	none-found	a-p---fa-
Καδμείας	*kadmei=os	none-found	a-s---fg-
Καδμείας	*kadmei=os	none-found	a-p---fa-
Καδμείας	*kadmei=os	none-found	a-s---fg-
Καδμείων	*kadmei=os	none-found	a-p---fg-
Καδμείων	*kadmei=os	none-found	a-p---mg-
Καδμείων	*kadmei=os	none-found	a-p---ng-
Καδμείων	*kadmei=os	none-found	a-p---fg-
Καδμείων	*kadmei=os	none-found	a-p---mg-
Καδμείων	*kadmei=os	none-found	a-p---ng-
Καδμείων	*kadmei=os	none-found	n-s---mn-
Καδμείων	*kadmei=os	none-found	n-s---mv-
Καδμείων	*kadmei=os	none-found	n-s---fn-
Καδμείων	*kadmei=os	none-found	n-s---fv-
Λαβδακιδᾶν	*labdaki/dai-pl	none-found	n-p---mg-
Λαβδακίδαισιν	*labdaki/dai-pl	none-found	n-p---md-
Λαΐου	*lai/+hs	none-found	n-s---mg-
Μενοικέως	*menoikeu/s	none-found	n-s---mg-
Μενοικέως	*menoikeu/s	none-found	n-s---mg-
Μενοικέως	*menoikeu/s	none-found	n-s---mn-
Μούσας	*mou=sai	none-found	n-p---fa-
Μούσας	*mou=sai	none-found	n-s---fg-
Μούσας	*mou=sai	none-found	n-p---fa-
Μούσας	*mou=sai	none-found	n-s---fg-
Νυσαίων	*nusai=oi	none-found	n-p---mg-
Παρνασίαν	*parna/sios	none-found	a-s---fa-
Σαλμυδησσός	*salmudhsso/s	none-found	n-s---mn-
Σιπύλῳ	*si/pulos	none-found	n-s---fd-
Τειρεσία	*teiresi/as	none-found	n-s---mv-
Τειρεσία	*teiresi/as	none-found	n-s---mv-
Τειρεσία	*teiresi/as	none-found	n-s---mg-
Τειρεσία	*teiresi/as	none-found	n-s---mn-
Φινεΐδαις	*finei/dhs	none-found	n-p---md-
αἰκισθέν	ai)ki/zomai	none-found	v-sapenn-
αἰκισθέν	ai)ki/zomai	none-found	v-sapenv-
αἰκισθέν	ai)ki/zomai	none-found	v-sapena-
βεβαρβαρωμένῳ	barbaro/w	none-found	v-srpemd-
βεβαρβαρωμένῳ	barbaro/w	none-found	v-srpend-
βοῆς	boei/h	none-found	n-s---fg-
δμωαῖς	dmwh/	none-found	n-p---fd-
δμωαῖσι	dmwh/	none-found	n-p---fd-
δοκῶ	doko/n	none-found	n-s---ng-
δυσμαχητέον	dusmaxhte/os	none-found	n-s---ma-
δυσμαχητέον	dusmaxhte/os	none-found	n-s---fa-
δυσμαχητέον	dusmaxhte/os	none-found	n-s---nn-
δυσμαχητέον	dusmaxhte/os	none-found	n-s---nv-
δυσμαχητέον	dusmaxhte/os	none-found	n-s---na-
δυσπνόοις	du/spnous	none-found	n-p---md-
δυσπνόοις	du/spnous	none-found	n-p---fd-
δυσπνόοις	du/spnous	none-found	n-p---nd-
δωμάτων	dwmato/w	none-found	v3piia---
δωμάτων	dwmato/w	none-found	v1siia---
δύσνουν	du/snous	none-found	n-s---ma-
δύσνουν	du/snous	none-found	n-s---fa-
δύσνουν	du/snous	none-found	n-s---nn-
δύσνουν	du/snous	none-found	n-s---nv-
δύσνουν	du/snous	none-found	n-s---na-
δύσπνους	du/spnous	none-found	n-p---mn-
δύσπνους	du/spnous	none-found	n-p---fn-
δύσπνους	du/spnous	none-found	n-s---mn-
δύσπνους	du/spnous	none-found	n-s---mv-
δύσπνους	du/spnous	none-found	n-s---fn-
δύσπνους	du/spnous	none-found	n-s---fv-
εὔνους	eu)/nous	none-found	n-p---mn-
εὔνους	eu)/nous	none-found	n-p---fn-
εὔνους	eu)/nous	none-found	n-s---mn-
εὔνους	eu)/nous	none-found	n-s---mv-
εὔνους	eu)/nous	none-found	n-s---fn-
εὔνους	eu)/nous	none-found	n-s---fv-
θανεῖν	qnh/skw	none-found	v--ana---
θανεῖται	qnh/skw	none-found	v3sfim---
