form	token_urn	expanded_form	presentation_form
αἴσχισθ’	urn:cts:fuTeaching:blackwell.hq.2026:20.33b.token3		αἴσχισθ’
βούλεσθ’	urn:cts:fuTeaching:blackwell.hq.2026:12.13a.token12		βούλεσθ’
γενοίμεθ’	urn:cts:fuTeaching:blackwell.hq.2026:13.15b.token15		γενοίμεθ’
γένοιντ’	urn:cts:fuTeaching:blackwell.hq.2026:16.28c.token7		γένοιντ’
γ’	urn:cts:fuTeaching:blackwell.hq.2026:8.3.token7	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:8.7.token21	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:8.8.token15	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:8.23.token12	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:9.11b.token6	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:9.30.token2	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:10.4b.token6	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:10.5.token7	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:11.26.token8	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:12.23.token21	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:14.1.token24	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:14.13.token8	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:18.13.token2	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:19.14.token6	γε	γε
γ’	urn:cts:fuTeaching:blackwell.hq.2026:19.31.token3	γε	γε
διδάξαιτ’	urn:cts:fuTeaching:blackwell.hq.2026:8.27.token18		διδάξαιτ’
δοίητ’	urn:cts:fuTeaching:blackwell.hq.2026:13.17.token6		δοίητ’
δῶρ’	urn:cts:fuTeaching:blackwell.hq.2026:4.19.token9		δῶρ’
δῶρ’	urn:cts:fuTeaching:blackwell.hq.2026:12.5a.token10		δῶρ’
δ’	urn:cts:fuTeaching:blackwell.hq.2026:9.14.token7	δέ	δέ
δ’	urn:cts:fuTeaching:blackwell.hq.2026:13.19.token17	δέ	δέ
δ’	urn:cts:fuTeaching:blackwell.hq.2026:14.11.token9	δέ	δέ
