Αἰθίοψ	*ai)qi/oy	Αἰθίοψ	*ai)qi/oy	urn:cite2:hmt:lsj.chicago_md:n2328	n-s---mn-
Αἰθίοψ	*ai)qi/oy	Αἰθίοψ	*ai)qi/oy	urn:cite2:hmt:lsj.chicago_md:n2328	n-s---mv-
Αἰτναίαις	*ai)tnai/ais	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-p---fd-
Βιβλίνων	*bibli/nwn	βίβλινος	bi/blinos	urn:cite2:hmt:lsj.chicago_md:n19909	n-p---mg-
Βία	*bi/a	βία	bi/a	urn:cite2:hmt:lsj.chicago_md:n19870	n-d---fn-
Βία	*bi/a	βία	bi/a	urn:cite2:hmt:lsj.chicago_md:n19870	n-d---fv-
Βία	*bi/a	βία	bi/a	urn:cite2:hmt:lsj.chicago_md:n19870	n-d---fa-
Βία	*bi/a	βία	bi/a	urn:cite2:hmt:lsj.chicago_md:n19870	n-s---fn-
Βία	*bi/a	βία	bi/a	urn:cite2:hmt:lsj.chicago_md:n19870	n-s---fv-
Βία	*bi/a	βιάω	bia/w	urn:cite2:hmt:lsj.chicago_md:n19891	v2spma---
Βία	*bi/a	βιάω	bia/w	urn:cite2:hmt:lsj.chicago_md:n19891	v3siia---
Βόσπορος	*bo/sporos	Βόσπορος	*bo/sporos	urn:cite2:hmt:lsj.chicago_md:n20415	n-s---mn-
Βόσπορος	*bo/sporos	βόσπορος	bo/sporos	urn:cite2:hmt:lsj.chicago_md:n20415	n-s---mn-
Γαῖα	*gai=a	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fn-
Γαῖα	*gai=a	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fv-
Γαῖα	*gai=a	γαῖα	gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fn-
Γαῖα	*gai=a	γαῖα	gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fv-
Γοργόνεια	*gorgo/neia	Γόργειος	*go/rgeios	urn:cite2:hmt:lsj.chicago_md:n22676	n-p---nn-
Γοργόνεια	*gorgo/neia	Γόργειος	*go/rgeios	urn:cite2:hmt:lsj.chicago_md:n22676	n-p---nv-
Γοργόνεια	*gorgo/neia	Γόργειος	*go/rgeios	urn:cite2:hmt:lsj.chicago_md:n22676	n-p---na-
Γοργόνεια	*gorgo/neia	Γοργόνειος	*gorgo/neios	urn:cite2:hmt:lsj.chicago_md:n22683	n-p---nn-
Γοργόνεια	*gorgo/neia	Γοργόνειος	*gorgo/neios	urn:cite2:hmt:lsj.chicago_md:n22683	n-p---nv-
Γοργόνεια	*gorgo/neia	Γοργόνειος	*gorgo/neios	urn:cite2:hmt:lsj.chicago_md:n22683	n-p---na-
Διόθεν	*dio/qen	Διόθεν	*dio/qen	urn:cite2:hmt:lsj.chicago_md:n27138	d--------
Διόθεν	*dio/qen	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	d--------
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
