token_urn	surface_form	normalized_form	reason
// The pound sign "	" is used as a column divider.	" is used as a column divider.	no_match_in_morph_dict
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Aristphanes, Frogs	Aristphanes, Frogs	no_match_in_morph_dict
urn	urn:cite2:furman:cex.2026:aristophanes_project	urn:cite2:furman:cex.2026:aristophanes_project	no_match_in_morph_dict
license	Creative Commons Attribution Share Alike	Creative Commons Attribution Share Alike	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:	line/speech/speaker,line/speech/text	line/speech/speaker,line/speech/text	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.10	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.13	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:5.2.text.token.3	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:5.2.text.token.7	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:8.1.text.token.4	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:8.1.text.token.7	ʹ	ʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:13.1.text.token.5	Φρύνιχος	Φρύνιχος	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:14.1.text.token.4	Λύκις	Λύκις	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:14.1.text.token.5	κἀμειψίας	κἀμειψίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:38.1.text.token.7	κενταυρικῶς	κενταυρικῶς	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text.token.1	καίτοι	καίτοι	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:48.2.text.token.2	Κλεισθένει	Κλεισθένει	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:55.2.text.token.3	Μόλων	Μόλων	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:57.2.text.token.1	ἀπαπαί	ἀπαπαί	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:57.2.text.token.3	Κλεισθένει	Κλεισθένει	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:60.1.text.token.3	ὦδελφίδιον	ὦδελφίδιον	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:64.1.text.token.6	’τέρᾳ	’τέρᾳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:67.2.text.token.4	τεθνηκότος	τεθνηκότος	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:73.1.text.token.5	Ἰοφῶν	Ἰοφῶν	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:76.1.text.token.3	Σοφοκλέα	Σοφοκλέα	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:78.1.text.token.5	Ἰοφῶντ’	Ἰοφῶντ’	no_match_in_morph_dict
urn:cts:greekLit:tlg0019.tlg009.fu.sp:79.1.text.token.2	Σοφοκλέους	Σοφοκλέους	no_match_in_morph_dict
