form	token_urn	expanded_form	presentation_form
Αἴανθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:98.1.text.token3		Αἴανθ’
Αἴανθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:754.1.text.token1		Αἴανθ’
Κνώσι’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:700.1.text.token2		Κνώσι’
αἶρ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:545.1.text.token1		αἶρ’
αἶσ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:255.1.text.token7		αἶσ’
αἷμ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:376.1.text.token2		αἷμ’
αἷμ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:920.1.text.token3		αἷμ’
αὐτίκ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:548.1.text.token2		αὐτίκ’
αὔτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:444.1.text.token4	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:445.1.text.token3	αὔτε	αὔτε
βαί’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:292.1.text.token6		βαί’
βούλευμ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:44.1.text.token4		βούλευμ’
γενοίμεθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:779.1.text.token1		γενοίμεθ’
γέλωθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:382.1.text.token4		γέλωθ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:378.1.text.token3		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:518.1.text.token4		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:524.1.text.token3		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:816.1.text.token1		γένοιτ’
γένοιτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1247.1.text.token2		γένοιτ’
γένοι’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:551.1.text.token7		γένοι’
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:111.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:182.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:441.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:469.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:472.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:531.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:535.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:715.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:812.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1068.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1070.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1123.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1127.1.text.token4	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1132.1.text.token2	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1150.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1268.1.text.token3	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1312.1.text.token6	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1342.1.text.token5	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1369.1.text.token7	γε	γε
γ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1409.1.text.token6	γε	γε
δείν’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:312.1.text.token4		δείν’
δείν’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:650.1.text.token6		δείν’
δεῦρ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1105.1.text.token3	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1260.1.text.token5	δεῦρο	δεῦρο
διῆλθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:999.1.text.token1		διῆλθ’
δοκοῦντ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1050.1.text.token1		δοκοῦντ’
δέδοικ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:583.1.text.token1		δέδοικ’
δέξαιτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1009.1.text.token1		δέξαιτ’
δέσποτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:368.1.text.token3		δέσποτ’
δέσποτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:485.1.text.token2		δέσποτ’
δέσποτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:585.1.text.token2		δέσποτ’
δίχ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:236.1.text.token4		δίχ’
δύσμορ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:924.1.text.token2		δύσμορ’
δῆτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:377.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:466.1.text.token7	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:518.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:537.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:986.1.text.token1	δῆτα	δῆτα
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:12.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:31.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:33.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:34.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:88.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:114.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:137.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:155.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:169.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:188.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:196.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:200.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:208.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:237.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:239.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:265.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:274.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:292.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:292.1.text.token9	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:294.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:296.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:298.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:301.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:303.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:308.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:317.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:323.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:343.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:346.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:373.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:406.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:426.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:437.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:445.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:450.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:454.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:487.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:489.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:505.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:510.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:523.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:551.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:556.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:577.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:592.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:600.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:613.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:616.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:631.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:667.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:675.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:687.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:689.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:691.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:693.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:702.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:711.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:731.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:740.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:747.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:762.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:765.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:766.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:775.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:780.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:782.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:792.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:797.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:798.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:805.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:805.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:819.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:821.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:831.1.text.token10	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:835.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:845.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:856.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:865.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:897.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:912.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:942.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:961.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1001.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1019.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1022.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1032.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1044.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1050.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1060.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1060.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1081.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1088.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1108.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1114.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1128.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1205.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1206.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1214.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1288.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1293.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1318.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1344.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1347.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1393.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1396.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1404.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1407.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1419.1.text.token5	δέ	δέ
εἰσορῶσ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:840.1.text.token4		εἰσορῶσ’
εἰσήκουσ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:318.1.text.token5		εἰσήκουσ’
εἴδωλ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:126.1.text.token1		εἴδωλ’
εἴθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1109.1.text.token1	εἴτε	εἴτε
εἴθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1264.1.text.token1	εἴτε	εἴτε
εἴμ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:590.1.text.token4	εἴμι	εἴμι
εἴπ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1097.1.text.token2		εἴπ’
εἴπ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1330.1.text.token1		εἴπ’
εἴτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:7.1.text.token1		εἴτ’
εἴτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:7.1.text.token3		εἴτ’
εἴτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:178.1.text.token5		εἴτ’
εἴχετ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:272.1.text.token5		εἴχετ’
εἴχετ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1145.1.text.token2		εἴχετ’
εἵνεκ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1062.1.text.token2		εἵνεκ’
εἵνεκ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1111.1.text.token6		εἵνεκ’
εἵνεχ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1113.1.text.token2		εἵνεχ’
εἶθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1094.1.text.token5	εἶτε	εἶτε
εἶμ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:690.1.text.token3	εἶμι	εἶμι
εἶμ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1401.1.text.token5	εἶμι	εἶμι
εἶτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:724.1.text.token4	εἶτε	εἶτε
εἶτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1092.1.text.token1	εἶτε	εἶτε
εἶφ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:780.1.text.token4		εἶφ’
ζητεῖτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:806.1.text.token1		ζητεῖτ’
ζῶντ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:755.1.text.token2		ζῶντ’
ηὐδᾶτ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:772.1.text.token1		ηὐδᾶτ’
θανόντ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:963.1.text.token1		θανόντ’
θαυμάσαιμ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1093.1.text.token8		θαυμάσαιμ’
θέλοιμ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:526.1.text.token1		θέλοιμ’
θέσθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1406.1.text.token1		θέσθ’
θέσμι’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:712.1.text.token2		θέσμι’
θήσουσ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:573.1.text.token1		θήσουσ’
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:276.1.text.token2	τε	τε
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:818.1.text.token4	τε	τε
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:830.1.text.token5	τε	τε
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:836.1.text.token2	τε	τε
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:862.1.text.token4	τε	τε
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:994.1.text.token2	τε	τε
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1008.1.text.token9	τε	τε
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1079.1.text.token6	τε	τε
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1081.1.text.token5	τε	τε
θ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1153.1.text.token2	τε	τε
καθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:252.1.text.token1	κατά	κατά
καθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:775.1.text.token3	κατά	κατά
καθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:801.1.text.token5	κατά	κατά
καθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1227.1.text.token2	κατά	κατά
καθ’	urn:cts:greekLit:tlg0011.tlg003.fu-sp.tok:1399.1.text.token2	κατά	κατά
