Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
Αἰακίδαν	*ai)aki/dan	Αἰακίδης	*ai)aki/dhs	n-s---ma-
Αἰακίδαν	*ai)aki/dan	Αἰακίδης	*ai)aki/dhs	n-s---ma-
Αἰακόν	*ai)ako/n	Αἰακός	*ai)ako/s	n-s---ma-
Αἰδοῦς	*ai)dou=s	αἰδώ	ai)dw/	n-p---fn-
Αἰδοῦς	*ai)dou=s	αἰδώ	ai)dw/	n-p---fv-
Αἰδοῦς	*ai)dou=s	αἰδώ	ai)dw/	n-s---fg-
Αἰδοῦς	*ai)dou=s	αἰδώς	ai)dw/s	n-p---fn-
Αἰδοῦς	*ai)dou=s	αἰδώς	ai)dw/s	n-p---fv-
Αἰδοῦς	*ai)dou=s	αἰδώς	ai)dw/s	n-s---fg-
Αἰδοῦς	*ai)dou=s	αἰδώς	ai)dw/s	n-p---fn-
Αἰδοῦς	*ai)dou=s	αἰδώς	ai)dw/s	n-p---fv-
Αἰδοῦς	*ai)dou=s	αἰδώς	ai)dw/s	n-s---fg-
Αἰνιάνων	*ai)nia/nwn	Αἰνιάν-πλ	*ai)nia/n-pl	n-p---mg-
Αἴαντε	*ai)/ante	Αἴασ-πλ	*ai)/as-pl	n-d---mn-
Αἴαντε	*ai)/ante	Αἴασ-πλ	*ai)/as-pl	n-d---mv-
Αἴαντε	*ai)/ante	Αἴασ-πλ	*ai)/as-pl	n-d---ma-
Αἴας	*ai)/as	Αἴας	*ai)/as	n-s---mn-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-p---fa-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-s---fg-
Αἴας	*ai)/as	αἶα	ai)=a	n-s---fg-
Αἴγινα	*ai)/gina	Αἴγινα	*ai)/gina	n-s---fn-
Αἴγινα	*ai)/gina	Αἴγινα	*ai)/gina	n-s---fv-
Αὐλίδα	*au)li/da	Αὐλίς	*au)li/s	n-s---fa-
Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
Αὐλίδος	*au)li/dos	Αὐλίς	*au)li/s	n-s---fg-
Αὐλίς	*au)li/s	Αὐλίς	*au)li/s	n-s---fn-
Αὖλιν	*au)=lin	αὖλις	au)=lis	n-s---fa-
Βοιωτῶν	*boiwtw=n	Βοιωτός	*boiwto/s	n-p---mg-
Βούλεσθ’	*bou/lesq'	βούλομαι	bou/lomai	v2ppme---
Βούλεσθ’	*bou/lesq'	βούλομαι	bou/lomai	v2ppie---
Βούλεσθ’	*bou/lesq'	βούλομαι	bou/lomai	v--pne---
Βούλεσθ’	*bou/lesq'	βούλομαι	bou/lomai	v2piie---
Βάκχου	*ba/kxou	Βάκχος	*ba/kxos	n-s---mg-
Γανυμήδης	*ganumh/dhs	Γανυμήδη	*ganumh/dh	n-s---fg-
Γανυμήδης	*ganumh/dhs	Γανυμήδης	*ganumh/dhs	n-p---ma-
Γανυμήδης	*ganumh/dhs	Γανυμήδης	*ganumh/dhs	n-p---mn-
Γανυμήδης	*ganumh/dhs	Γανυμήδης	*ganumh/dhs	n-p---mv-
Γανυμήδης	*ganumh/dhs	Γανυμήδης	*ganumh/dhs	n-s---mn-
Γερηνίου	*gerhni/ou	Γερήνιος	*gerh/nios	n-s---mg-
Γουνεύς	*gouneu/s	Γουνεύς	*gouneu/s	n-s---mn-
Δαναοῖς	*danaoi=s	Δαναός	*danao/s	n-p---md-
Δαναοῖς	*danaoi=s	Δαναοί	*danaoi/	n-p---md-
Δαναϊδῶν	*danai+dw=n	Δαναίδαι	*danai/dai	n-p---mg-
Δαναΐδαι	*danai+/dai	Δαναίδαι	*danai/dai	n-p---mn-
Δαναΐδαι	*danai+/dai	Δαναίδαι	*danai/dai	n-p---mv-
Δαναΐδαι	*danai+/dai	Δαναίδαι	*danai/dai	n-s---md-
Δαναΐδαις	*danai+/dais	Δαναίδαι	*danai/dai	n-p---md-
Δαναΐδαισι	*danai+/daisi	Δαναίδαι	*danai/dai	n-p---md-
Δαναΐδαισιν	*danai+/daisin	Δαναίδαι	*danai/dai	n-p---md-
Δαναῶν	*danaw=n	Δαναός	*danao/s	n-p---mg-
Δαναῶν	*danaw=n	Δαναοί	*danaoi/	n-p---mg-
Δαρδανίδας	*dardani/das	Δαρδανίδης	*dardani/dhs	n-p---ma-
Δαρδανίδας	*dardani/das	Δαρδανίδης	*dardani/dhs	n-s---mn-
Δαρδανίδας	*dardani/das	Δαρδανίς	*dardani/s	n-p---fa-
Δαρδάνου	*darda/nou	Δάρδανος	*da/rdanos	n-s---mg-
Διομήδεά	*diomh/dea/	Διομήδης	*diomh/dhs	n-s---ma-
Διοσκούρων	*dioskou/rwn	Διόσκοροι	*dio/skoroi	n-p---mg-
Διοσκούρων	*dioskou/rwn	Διόσκοροι	*dio/skoroi	n-p---mg-
Διοσκούρων	*dioskou/rwn	Διόσκουροι	*dio/skouroi	n-p---mg-
