frequency	elided_form	expanded_form	presentation_form	turns
117	δ’	δέ	δέ	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:18.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:26.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:36.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:40.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:43.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:52.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:56.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:58.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:63.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:88.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:90.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:114.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:122.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:134.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:142.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:154.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:161.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:162.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:199.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:250.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:264.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:268.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:274.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:281.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:283.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:287.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:293.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:296.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:311.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:314.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:314.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:329.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:339.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:344.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:374.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:401.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:403.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:414.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:418.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:425.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:444.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:451.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:459.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:468.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:469.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:515.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:520.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:523.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:527.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:535.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:536.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:545.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:549.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:551.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:553.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:565.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:568.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:584.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:591.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:595.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:653.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:665.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:666.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:678.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:688.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:693.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:697.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:724.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:729.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:738.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:739.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:748.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:756.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:769.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:775.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:783.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:787.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:789.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:790.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:801.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:809.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:810.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:834.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:837.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:844.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:850.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:860.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:873.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:896.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:899.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:905.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:917.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:925.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:932.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:952.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:965.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:968.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:987.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1021.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1075.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1103.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1135.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1154.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1155.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1157.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1157.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1164.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1172.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1180.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1189.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1190.1.text.token9,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1196.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1203.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1215.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1231.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1272.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1273.1.text.token2
60	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:22.1.text.token9,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:44.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:67.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:72.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:86.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:106.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:127.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:133.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:147.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:160.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:229.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:250.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:258.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:320.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:325.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:347.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:359.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:389.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:392.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:397.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:433.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:449.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:453.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:472.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:481.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:490.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:492.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:503.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:536.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:552.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:588.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:592.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:594.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:600.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:616.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:620.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:627.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:677.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:682.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:727.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:730.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:799.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:819.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:977.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:981.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1074.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1107.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1128.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1151.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1151.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1161.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1177.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1179.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1200.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1208.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1211.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1216.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1227.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1245.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1257.1.text.token1
32	τ’	τε	τε	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:60.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:113.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:143.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:149.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:202.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:203.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:238.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:300.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:336.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:337.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:343.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:344.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:364.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:445.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:462.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:493.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:494.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:505.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:518.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:636.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:685.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:788.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:788.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:809.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:824.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:926.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:929.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:942.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:942.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1054.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1095.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1234.1.text.token3
26	γ’	γε	γε	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:72.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:80.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:92.1.text.token11,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:321.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:328.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:331.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:399.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:415.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:424.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:425.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:444.1.text.token9,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:461.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:491.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:590.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:621.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:625.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:630.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:669.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:738.1.text.token9,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:945.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1113.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1128.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1211.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1214.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1220.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1236.1.text.token5
23	μ’	με	με	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:10.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:162.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:217.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:218.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:225.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:350.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:393.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:458.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:706.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:710.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:795.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:801.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:956.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:996.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1008.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1041.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1083.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1085.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1163.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1203.1.text.token10,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1206.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1242.1.text.token3
19	οὐδ’	οὐδέ	οὐδέ	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:126.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:146.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:195.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:215.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:276.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:317.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:318.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:356.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:357.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:367.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:368.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:439.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:462.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:462.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:592.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:726.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1015a.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1072.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1083.1.text.token4
13	κατ’	κατά	κατά	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:101.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:230.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:379.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:436.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:468.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:531.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:678.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:689.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:769.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:933.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:934.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1018.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1106.1.text.token3
13	ποτ’	ποτε	ποτε	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:98.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:242.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:303.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:307.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:310.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:375.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:430.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:610.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:707.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:830.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:997.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1024.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1231.1.text.token7
12	σ’	σε	σε	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:49.1.text.token6,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:122.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:126.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:404.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:571.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:734.1.text.token8,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:988.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1116.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1175.1.text.token2,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1201.1.text.token11,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1221.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1240.1.text.token2
11	οὔτ’		οὔτ’	urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:3.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:3.1.text.token7,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:131.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:324.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:480.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:480.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:936.1.text.token5,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:938.1.text.token1,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1021.1.text.token4,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1048.1.text.token3,urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1060.1.text.token3
