token_urn	surface_form	normalized_form	reason
// The pound sign "	" is used as a column divider.	" is used as a column divider.	no_match_in_morph_dict
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Euripides, Alcestis	Euripides, Alcestis	no_match_in_morph_dict
urn	urn:cite2:furman:cex.2026:aristophanes_project	urn:cite2:furman:cex.2026:aristophanes_project	no_match_in_morph_dict
license	Creative Commons Attribution Share Alike	Creative Commons Attribution Share Alike	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:	line/speech/speaker,line/speech/text	line/speech/speaker,line/speech/text	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:1.1.text.token.3	Ἀδμήτει’	Ἀδμήτει’	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:9.1.text.token.3	ἔσῳζον	ἔσῳζον	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:11.1.text.token.2	Φέρητος	Φέρητος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:11.1.text.token.5	θανεῖν	θανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:13.1.text.token.2	ᾅδην	ᾅδην	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:18.1.text.token.1	θανὼν	θανών	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:21.1.text.token.1	θανεῖν	θανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:21.1.text.token.2	πέπρωται	πέπρωται	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:25.1.text.token.2	θανόντων	θανόντων	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:27.1.text.token.5	θανεῖν	θανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:37.1.text.token.2	προθανεῖν	προθανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:40.1.text.token.1	σύνηθες	σύνηθες	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:46.1.text.token.8	μέτα	μέτα	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:52.1.text.token.4	Ἄλκηστις	Ἄλκηστις	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:59.1.text.token.6	θανεῖν	θανεῖν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:65.1.text.token.2	Φέρητος	Φέρητος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:66.1.text.token.1	Εὐρυσθέως	Εὐρυσθέως	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:66.1.text.token.4	μέτα	μέτα	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:67.1.text.token.2	Θρῄκης	Θρῄκης	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:71.1.text.token.6	ἀπεχθήσῃ	ἀπεχθήσῃ	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:77.1.speaker.token.1	Χορός	Χορός	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg002.fu.sp:78.1.speaker.token.1	Χορός	Χορός	no_match_in_morph_dict
