form	token_urn	expanded_form	presentation_form
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:20.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:34.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:175.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:207.1.text.token6	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:235.2.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:259.1.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:260.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:552.2.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:555.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:609.2.text.token3	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:615.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:934.2.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1075.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1090.1.text.token2	Δία	Δία
Δί’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1125.1.text.token2	Δία	Δία
Θρᾷτθ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:279.2.text.token4		Θρᾷτθ’
Θρᾷττ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:293.1.text.token8		Θρᾷττ’
Λακωνίκ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:423.1.text.token1		Λακωνίκ’
Λύσιλλ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:375.1.text.token1		Λύσιλλ’
Ξένυλλ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:633.1.text.token2		Ξένυλλ’
Σκύθ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1116.1.text.token2		Σκύθ’
Τιμόκλει’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:374.1.text.token5		Τιμόκλει’
Φοῖβ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:112.1.text.token1		Φοῖβ’
αἰθέρ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:272.1.text.token3		αἰθέρ’
αἰσχυνθεῖσ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:798.1.text.token2		αἰσχυνθεῖσ’
αὔτ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:514.1.text.token7	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:741.2.text.token4	αὔτε	αὔτε
αὔτ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:813.1.text.token7	αὔτε	αὔτε
βάλλ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1079.1.text.token1		βάλλ’
βάλλ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1079.2.text.token1		βάλλ’
βάσκετ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:783.1.text.token1		βάσκετ’
βέλτιστ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1008.1.text.token3		βέλτιστ’
γαμεῖθ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:789.1.text.token6		γαμεῖθ’
γιγνώσκεθ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:606.1.text.token1		γιγνώσκεθ’
γλῶσσ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1192.1.text.token4		γλῶσσ’
γρᾴδι’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1210.1.text.token2		γρᾴδι’
γρᾴδι’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1213.1.text.token2		γρᾴδι’
γρᾴδι’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:1216.1.text.token6		γρᾴδι’
γυναικεῖ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:151.1.text.token2		γυναικεῖ’
γυναῖκ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:591.1.text.token5		γυναῖκ’
γένοιντ’	urn:cts:greekLit:tlg0019.tlg008.fu-sp.tok:772.1.text.token3		γένοιντ’
