Αἰγεΐδη	*ai)gei/+dhs	none-found	n-s---mv-
Αἰτωλοῖς	*ai)twlo/s	none-found	a-p---md-
Αἰτωλοῖς	*ai)twlo/s	none-found	a-p---nd-
Αἰτωλοῖς	*ai)twloi/	none-found	n-p---md-
Βερέσχεθοί	bere/sxeqos	none-found	n-p---mn-
Βερέσχεθοί	bere/sxeqos	none-found	n-p---mv-
Γρύττον	*gru/ttos	none-found	n-s---ma-
Διοπείθους	*diopei/qhs	none-found	n-s---mg-
Δωροῖ	*dwrw/	none-found	n-s---fd-
Δία	*di/h	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fv-
Εὐκράτης	*eu)kra/ths	none-found	n-p---ma-
Εὐκράτης	*eu)kra/ths	none-found	n-p---mn-
Εὐκράτης	*eu)kra/ths	none-found	n-p---mv-
Εὐκράτης	*eu)kra/ths	none-found	n-s---mn-
Θεμιστοκλεῖ	*qemistoklh=s	none-found	n-s---md-
Θεμιστοκλέους	*qemistoklh=s	none-found	n-s---mg-
Θεμιστοκλῆς	*qemistoklh=s	none-found	n-s---mn-
Θεμιστοκλῆς	*qemistoklh=s	none-found	n-s---mv-
Θησεῖον	*qhsei=os	none-found	a-s---ma-
Θησεῖον	*qhsei=os	none-found	a-s---nn-
Θησεῖον	*qhsei=os	none-found	a-s---nv-
Θησεῖον	*qhsei=os	none-found	a-s---na-
Θούμαντιν	*qou/mantis	none-found	n-s---fa-
Κλεαίνετον	*kleai/netos	none-found	n-s---ma-
Κλεισθένης	*kleisqe/nhs	none-found	n-p---ma-
Κλεισθένης	*kleisqe/nhs	none-found	n-p---mn-
Κλεισθένης	*kleisqe/nhs	none-found	n-p---mv-
Κλεισθένης	*kleisqe/nhs	none-found	n-s---mn-
Κλεωνύμου	*klew/numos	none-found	n-s---mg-
Κλεωνύμου	*klewnu/mhs	none-found	n-s---mg-
Κλεώνυμος	*klew/numos	none-found	n-s---mn-
Κλωπιδῶν	*klwpi/dhs	none-found	n-p---mg-
Κλέων	*kle/wn	none-found	n-s---mn-
Κλέων	*kle/wn	none-found	n-s---mv-
Κρατίνου	*kra/tinos	none-found	n-s---mg-
Κρατίνου	*krati=nos	none-found	n-s---mg-
Κύνναν	*ku/nna	none-found	n-s---fa-
Λακεδαιμονίοις	*lakedaimo/nios	none-found	a-p---md-
Λακεδαιμονίοις	*lakedaimo/nios	none-found	a-p---nd-
Λακεδαιμονίων	*lakedaimo/nios	none-found	a-p---fg-
Λακεδαιμονίων	*lakedaimo/nios	none-found	a-p---mg-
Λακεδαιμονίων	*lakedaimo/nios	none-found	a-p---ng-
Λυσικλέα	*lusiklh/s	none-found	n-s---ma-
Λυσικλέα	*lusiklh=s	none-found	n-s---ma-
Λυσικλέα	*lusiklh=s	none-found	n-s---ma-
Λυσίστρατον	*lusi/stratos	none-found	n-s---ma-
Μιλτιάδῃ	*miltia/dhs	none-found	n-s---md-
Μούσης	*mou=sai	none-found	n-s---fg-
Μούσης	*mou=sai	none-found	n-s---fg-
Ναυφάντης	*naufa/nth	none-found	n-s---fg-
Ναύσωνος	*nau/swn	none-found	n-s---mg-
Νικίαν	*niki/as	none-found	n-s---ma-
Περγασῆσιν	*pergash=si	none-found	d--------
Περικλέης	*periklh=s	none-found	n-s---mn-
