Αἰακίδης	*ai)aki/dhs	none-found	n-s---mn-
Αἰσχύλου	*ai)sxu/los	none-found	n-s---mg-
Αἰτωλοί	*ai)twlo/s	none-found	a-p---mn-
Αἰτωλοί	*ai)twlo/s	none-found	a-p---mv-
Αἰτωλοί	*ai)twloi/	none-found	n-p---mn-
Αἰτωλοί	*ai)twloi/	none-found	n-p---mv-
Αἰτωλούς	*ai)twlo/s	none-found	a-p---ma-
Αἰτωλούς	*ai)twloi/	none-found	n-p---ma-
Αἰτωλοῖς	*ai)twlo/s	none-found	a-p---md-
Αἰτωλοῖς	*ai)twlo/s	none-found	a-p---nd-
Αἰτωλοῖς	*ai)twloi/	none-found	n-p---md-
Βαβυλωνία	*babulw/nios	none-found	a-d---fn-
Βαβυλωνία	*babulw/nios	none-found	a-d---fv-
Βαβυλωνία	*babulw/nios	none-found	a-d---fa-
Βαβυλωνία	*babulw/nios	none-found	a-s---fn-
Βαβυλωνία	*babulw/nios	none-found	a-s---fv-
Βαβυλωνίαν	*babulw/nios	none-found	a-s---fa-
Βαβυλωνίων	*babulw/nios	none-found	a-p---fg-
Βαβυλωνίων	*babulw/nios	none-found	a-p---mg-
Βαβυλωνίων	*babulw/nios	none-found	a-p---ng-
Βαγώου	*bagw=on	none-found	n-s---ng-
Βακτριανῆς	*baktriano/s	none-found	a-s---fg-
Βαρσίνης	*barsi/nh	none-found	n-s---fg-
Βουκεφαλίαν	*boukefali/a	none-found	n-s---fa-
Βουκεφάλα	*bouke/fala	none-found	n-d---fn-
Βουκεφάλα	*bouke/fala	none-found	n-d---fv-
Βουκεφάλα	*bouke/fala	none-found	n-d---fa-
Βουκεφάλας	*bouke/fala	none-found	n-p---fa-
Βουκεφάλας	*bouke/fala	none-found	n-s---fg-
Βυζαντίους	*buza/ntios	none-found	a-p---ma-
Βήσσου	*bh=ssos	none-found	n-s---mg-
Βῆσσον	*bh=ssos	none-found	n-s---ma-
Γεδρωσίας	*gedrw/sioi	none-found	a-p---fa-
Γεδρωσίας	*gedrw/sioi	none-found	a-s---fg-
Γεδρωσίας	*gedrwsi/a	none-found	n-p---fa-
Γεδρωσίας	*gedrwsi/a	none-found	n-s---fg-
Γορδυαίων	*gorduai=oi	none-found	n-p---mg-
Γορδυαίων	*gorduai=os	none-found	a-p---fg-
Γορδυαίων	*gorduai=os	none-found	a-p---mg-
Γορδυαίων	*gorduai=os	none-found	a-p---ng-
Γρανικοῦ	*graniko/s	none-found	n-s---mg-
Γρανικόν	*graniko/s	none-found	n-s---ma-
Γυμνοσοφιστῶν	*gumnosofistai/-pl	none-found	n-p---mg-
Γάγγην	*ga/gghs	none-found	n-s---ma-
Γόρδιον	*go/rdios	none-found	n-s---ma-
Δαμασκόν	*damasko/s	none-found	n-s---ma-
Δαμασκῷ	*damasko/s	none-found	n-s---md-
Δείνων	*dei/nwn	none-found	n-s---mn-
Δείνων	*dei/nwn	none-found	n-s---mv-
Δείνων	*dei/nwn	none-found	n-s---mn-
Δείνων	*dei/nwn	none-found	n-s---mv-
Δημοσθένει	*dhmosqe/nhs	none-found	n-d---mn-
Δημοσθένει	*dhmosqe/nhs	none-found	n-d---mv-
Δημοσθένει	*dhmosqe/nhs	none-found	n-d---ma-
Δημοσθένει	*dhmosqe/nhs	none-found	n-s---md-
Δημοσθένει	*dhmosqe/nhs	none-found	n-s---md-
Διοσκούροις	*dio/skouroi	none-found	n-p---md-
Δοῦρις	*dou=ris	none-found	n-s---fn-
Δάμωνα	*da/mwn	none-found	n-s---ma-
Δάνδαμιν	*da/ndamis	none-found	n-s---ma-
Δάνδαμις	*da/ndamis	none-found	n-s---mn-
Δία	*di/h	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fv-
Εὐρύλοχε	*eu)ru/loxos	none-found	n-s---mv-
Εὐρύλοχος	*eu)ru/loxos	none-found	n-s---mn-
Εὐρώπης	*eu)rw/phs	none-found	n-s---mn-
Εὐφράτην	*eu)fra/ths	none-found	n-s---ma-
Εὐφράτου	*eu)fra/ths	none-found	n-s---mg-
Θεοδέκτου	*qeode/kths	none-found	n-s---mg-
Θετταλίαν	*qessali/h	none-found	n-s---fa-
Θεόδωρον	*qeo/dwros	none-found	n-s---ma-
Θεόδωρόν	*qeo/dwros	none-found	n-s---ma-
Θεόφραστος	*qeo/frastos	none-found	n-s---mn-
Θεόφραστος	qeo/frastos	none-found	n-s---mn-
Θεόφραστος	qeo/frastos	none-found	n-s---fn-
Θηβαίους	*qhbai=os	none-found	a-p---ma-
Θηβαίων	*qhbai=os	none-found	a-p---fg-
Θηβαίων	*qhbai=os	none-found	a-p---mg-
Θηβαίων	*qhbai=os	none-found	a-p---ng-
Θηβαῖος	*qhbai=os	none-found	a-s---mn-
Θρᾳκῶν	*qra|ki/a	none-found	n-p---fg-
Θάψακον	*qa/yakos	none-found	n-s---ma-
Θήβας	*qh/bh	none-found	n-s---fg-
Καδμείαν	*kadmei=os	none-found	a-s---fa-
Καδμείαν	*kadmei=os	none-found	a-s---fa-
Καλανόν	*kalano/s	none-found	n-s---ma-
Καλανόν	*kalano/s	none-found	n-s---fa-
Καλανόν	*kalano/s	none-found	n-s---nn-
Καλανόν	*kalano/s	none-found	n-s---nv-
Καλανόν	*kalano/s	none-found	n-s---na-
Καλανός	*kalano/s	none-found	n-s---mn-
Καλανός	*kalano/s	none-found	n-s---fn-
Καλλισθένη	*kallisqe/nhs	none-found	n-s---ma-
Καλλισθένη	*kallisqe/nhs	none-found	n-s---mv-
Καλλισθένην	*kallisqe/nhs	none-found	n-s---ma-
Καλλισθένην	*kallisqe/nhs	none-found	n-s---ma-
Καλλισθένης	*kallisqe/nhs	none-found	n-s---mn-
Καλλισθένης	*kallisqe/nhs	none-found	n-s---mn-
Καλλισθένους	*kallisqe/nhs	none-found	n-s---mg-
Καμβύσου	*kambu/shs	none-found	n-s---mg-
Κανωβικοῦ	*kanwbi/ths	none-found	a-s---mg-
Κανωβικοῦ	*kanwbi/ths	none-found	a-s---ng-
Κανωβικοῦ	*kanwbiko/s	none-found	a-s---mg-
Κανωβικοῦ	*kanwbiko/s	none-found	a-s---ng-
Καππαδόκας	*kappado/khs	none-found	n-p---ma-
Καππαδόκας	*kappado/khs	none-found	n-s---mn-
Καρδιανόν	*kardiano/s	none-found	n-s---ma-
Καρδιανόν	*kardiano/s	none-found	n-s---fa-
Καρδιανόν	*kardiano/s	none-found	n-s---nn-
Καρδιανόν	*kardiano/s	none-found	n-s---nv-
Καρδιανόν	*kardiano/s	none-found	n-s---na-
Καρμανίας	*karmani/a	none-found	n-p---fa-
Καρμανίας	*karmani/a	none-found	n-s---fg-
Καρμανίας	*karmani/a	none-found	n-p---fa-
Καρμανίας	*karmani/a	none-found	n-s---fg-
Κασάνδρου	*ka/ssandros	none-found	n-s---mg-
Κεβαλίνῳ	*keba/linos	none-found	n-s---md-
