Αἰακίδαο	*ai)aki/dhs	none-found	n-s---mg-
Αἰαίη	*ai)ai/h	none-found	n-s---fn-
Αἰαίη	*ai)ai/h	none-found	n-s---fv-
Αἰαίην	*ai)ai/h	none-found	n-s---fa-
Αἰαίης	*ai)ai/h	none-found	n-s---fg-
Αἰγυπτίη	ai)gupti/a	none-found	n-s---fn-
Αἰγυπτίη	ai)gupti/a	none-found	n-s---fv-
Αἰγυπτίῃς	ai)gupti/a	none-found	n-p---fd-
Αἰγάς	*ai)gai/	none-found	n-p---fa-
Αἰγίσθοιο	*ai)/gisqos	none-found	n-s---mg-
Αἰγίσθου	*ai)/gisqos	none-found	n-s---mg-
Αἰολίδαο	*ai)oli/dhs	none-found	n-s---mg-
Αἰολίην	*ai)o/lios	none-found	a-s---fa-
Αἰολίην	*ai)oli/h	none-found	n-s---fa-
Αἰτωλός	*ai)twlo/s	none-found	a-s---mn-
Αἰήταο	*ai)h/ths	none-found	n-s---mg-
Αἴγισθον	*ai)/gisqos	none-found	n-s---ma-
Αἴγισθος	*ai)/gisqos	none-found	n-s---mn-
Αἴσονά	*ai)/swn	none-found	n-s---ma-
Αὐτολύκοιο	*au)to/lukos	none-found	n-s---mg-
Αὐτολύκου	*au)to/lukos	none-found	n-s---mg-
Αὐτονόην	*au)tono/h	none-found	n-s---fa-
Αὐτόλυκον	*au)to/lukos	none-found	n-s---ma-
Αὐτόλυκος	*au)to/lukos	none-found	n-s---mn-
Αὐτόλυκόν	*au)to/lukos	none-found	n-s---ma-
Αὐτόλυκός	*au)to/lukos	none-found	n-s---mn-
Αὐτόλυκ’	*au)to/lukos	none-found	n-s---mv-
Βοηθοΐδη	*bohqoi/+dhs	none-found	n-s---mv-
Βοηθοΐδης	*bohqoi/+dhs	none-found	n-s---mn-
Βορέαο	*bore/hs	none-found	n-s---mg-
Βορέην	*bore/hs	none-found	n-s---ma-
Βορέης	*bore/hs	none-found	n-s---mn-
Βορέω	*bore/hs	none-found	n-s---mg-
Βορέῃ	*bore/hs	none-found	n-s---md-
Γεραιστόν	*geraisto/s	none-found	n-s---ma-
Γυραίην	*gurai/	none-found	a-s---fa-
Γυρῇσίν	*gurai/	none-found	n-p---fd-
Γόρτυνος	*go/rtus	none-found	n-s---mg-
Δαμαστορίδην	*damastori/dhs	none-found	n-s---ma-
Δαμαστορίδης	*damastori/dhs	none-found	n-s---mn-
Δαναοί	*danao/s	none-found	n-p---mn-
Δαναοί	*danao/s	none-found	n-p---mv-
Δαναοῖσι	*danao/s	none-found	n-p---md-
Δαναοῖσιν	*danao/s	none-found	n-p---md-
Δαναῶν	*danao/s	none-found	n-p---mg-
Δευκαλίων	*deukali/wn	none-found	n-s---mn-
Δευκαλίων	*deukali/wn	none-found	n-s---mv-
