Βηθανία	*bhqani/a	none-found	n-d---fn-
Βηθανία	*bhqani/a	none-found	n-d---fv-
Βηθανία	*bhqani/a	none-found	n-d---fa-
Βηθανίας	*bhqani/a	none-found	n-p---fa-
Βηθανίας	*bhqani/a	none-found	n-s---fg-
Βηθανίᾳ	*bhqani/a	none-found	n-s---fd-
Γαλιλαίαν	*galilai/a	none-found	n-s---fa-
Γαλιλαίαν	*galilai=os	none-found	a-s---fa-
Γαλιλαίας	*galilai/a	none-found	n-p---fa-
Γαλιλαίας	*galilai/a	none-found	n-s---fg-
Γαλιλαίας	*galilai=os	none-found	a-p---fa-
Γαλιλαίας	*galilai=os	none-found	a-s---fg-
Γαλιλαίᾳ	*galilai/a	none-found	n-s---fd-
Γαλιλαίᾳ	*galilai=os	none-found	a-s---fd-
Γαλιλαῖοι	*galilai=os	none-found	a-p---mn-
Γαλιλαῖοι	*galilai=os	none-found	a-p---mv-
Ζεβεδαίου	*zebedai=os	none-found	n-s---mg-
Θωμᾶς	*qwma=s	none-found	n-s---mn-
Θωμᾶς	qwma/zw	none-found	v2sfia---
Θωμᾷ	*qwma=s	none-found	n-s---md-
Θωμᾷ	qwma/zw	none-found	v2sfim---
Θωμᾷ	qwma/zw	none-found	v3sfia---
Καφαρναούμ	*kafarnaou/m	none-found	n-s---m--
Καίσαρα	*kaisa/ras	none-found	n-s---mv-
Καίσαρα	*kaisa/ras	none-found	n-s---mn-
Κεδρών	*kedrw/n	none-found	n-s---mn-
Κεδρών	*kedrw/n	none-found	n-s---mv-
Κρανίου	*kra/nios	none-found	a-s---mg-
Κρανίου	*kra/nios	none-found	a-s---ng-
Λάζαρε	*la/zaros	none-found	n-s---mv-
Λάζαρον	*la/zaros	none-found	n-s---ma-
Λάζαρος	*la/zaros	none-found	n-s---mn-
Μαγδαληνή	*magdalhnh/	none-found	n-s---fn-
Μαγδαληνή	*magdalhnh/	none-found	n-s---fv-
Μαριάμ	*maria/m	none-found	n-s---f--
Μαρία	*mari/a	none-found	n-d---fn-
Μαρία	*mari/a	none-found	n-d---fv-
Μαρία	*mari/a	none-found	n-d---fa-
Μαρίας	*mari/a	none-found	n-p---fa-
Μαρίας	*mari/a	none-found	n-s---fg-
Μωυσῆς	*mwush=s	none-found	n-s---mn-
Μωϋσεῖ	*mwush=s-pl	none-found	n-s---md-
Μωϋσέως	*mwush=s-pl	none-found	n-s---mg-
Μωϋσέως	*mwush=s-pl	none-found	n-s---mg-
Μωϋσέως	*mwush=s-pl	none-found	n-s---mn-
Μωϋσῆς	*mwush=s	none-found	n-s---mn-
Μάλχος	*ma/lxos	none-found	n-s---mn-
Μάρθα	*ma/rqa	none-found	n-s---fn-
Μάρθα	*ma/rqa	none-found	n-s---fv-
Μάρθαν	*ma/rqa	none-found	n-s---fa-
Μάρθας	*ma/rqa	none-found	n-s---fg-
Ναζωραῖον	*nazwrai=os	none-found	a-s---ma-
Ναζωραῖον	*nazwrai=os	none-found	a-s---nn-
Ναζωραῖον	*nazwrai=os	none-found	a-s---nv-
Ναζωραῖον	*nazwrai=os	none-found	a-s---na-
Ναζωραῖος	*nazwrai=os	none-found	a-s---mn-
Νικόδημος	*niko/dhmos	none-found	n-s---mn-
Πιλάτῳ	*pila=tos	none-found	n-s---md-
Πιλᾶτον	*pila=tos	none-found	n-s---ma-
Πιλᾶτος	*pila=tos	none-found	n-s---mn-
Σαμαριτῶν	*samari/ths	none-found	n-p---mg-
Σαμαρίταις	*samari/ths	none-found	n-p---md-
Σαμαρίτης	*samari/ths	none-found	n-s---mn-
Σατανᾶς	*sata/n-pl	none-found	n-s---mn-
Σολομῶνος	*solomw/n	none-found	n-s---mg-
Τιβεριάδος	*tiberia/s	none-found	n-s---fg-
Φαρισαίους	*farisai=os	none-found	n-p---ma-
Φαρισαίων	*farisai=os	none-found	n-p---mg-
Φαρισαῖοι	*farisai=os	none-found	n-p---mn-
Φαρισαῖοι	*farisai=os	none-found	n-p---mv-
γηράσῃς	ghra/w	none-found	v2sasa---
γηράσῃς	ghra/w	none-found	v2sasa---
γλωσσόκομον	glwsso/komon	none-found	n-s---nn-
γλωσσόκομον	glwsso/komon	none-found	n-s---nv-
γλωσσόκομον	glwsso/komon	none-found	n-s---na-
δεκαπέντε	dekape/nte	none-found	m--------
διεγείρετο	dia/-e)gei/rw	none-found	v3siie---
ζωή	zwh/	none-found	n-s---fn-
ζωή	zwh/	none-found	n-s---fv-
ζωήν	zwh/	none-found	n-s---fa-
ζωῆς	zwh/	none-found	n-s---fg-
ζῳοποιεῖ	zw|opoie/w	none-found	v2spie---
ζῳοποιεῖ	zw|opoie/w	none-found	v3spia---
ζῳοποιοῦν	zw|opoie/w	none-found	v-sppamv-
ζῳοποιοῦν	zw|opoie/w	none-found	v-sppann-
ζῳοποιοῦν	zw|opoie/w	none-found	v-sppanv-
ζῳοποιοῦν	zw|opoie/w	none-found	v-sppana-
θῇ	qa/zw	none-found	v2sfim---
θῇ	qa/zw	none-found	v3sfia---
καθεζομένους	kata/-e(/zomai	none-found	v-pppema-
καθεζομένους	kata/-kaqe/zomai	none-found	v-pppmma-
καίτοιγε	kai/toi	none-found	g--------
κάτω	kato/w	none-found	v2spma---
κάτω	kato/w	none-found	v3siia---
λαλιάν	lalih/	none-found	n-s---fa-
λίθους	liqo/omai	none-found	v2siia---
ξηρῶν	chra/	none-found	n-p---fg-
πτέρναν	pte/rna	none-found	n-s---fa-
σοῦ	se/w	none-found	v2spme---
σοῦ	se/w	none-found	v2siie---
συκῆν	sukh=	none-found	n-s---fa-
συκῆν	sukh=	none-found	n-s---fa-
συκῆς	sukh=	none-found	n-s---fg-
συκῆς	sukh=	none-found	n-s---fg-
σωθήσεται	sw/zw	none-found	v3sfip---
σωθῆτε	sw/zw	none-found	v2pasp---
σωθῇ	sw/zw	none-found	v3sasp---
σώσω	sw/zw	none-found	v1sasa---
σώσω	sw/zw	none-found	v1sfia---
σώσω	sw/zw	none-found	v2saim---
σῶσόν	sw/zw	none-found	v2sama---
σῶσόν	sw/zw	none-found	v-sfpamv-
σῶσόν	sw/zw	none-found	v-sfpann-
σῶσόν	sw/zw	none-found	v-sfpanv-
σῶσόν	sw/zw	none-found	v-sfpana-
τεθνηκότα	qnh/skw	none-found	v-prpann-
τεθνηκότα	qnh/skw	none-found	v-prpanv-
τεθνηκότα	qnh/skw	none-found	v-prpana-
τεθνηκότα	qnh/skw	none-found	v-srpama-
τεθνηκώς	qnh/skw	none-found	v-srpamn-
τεθνηκώς	qnh/skw	none-found	v-srpamv-
τριῶν	tria/cw	none-found	v-sfpamv-
τριῶν	tria/cw	none-found	v-sfpann-
τριῶν	tria/cw	none-found	v-sfpanv-
τριῶν	tria/cw	none-found	v-sfpana-
τριῶν	tria/cw	none-found	v-sfpamn-
τύπον	tu/pon	none-found	n-s---nn-
τύπον	tu/pon	none-found	n-s---nv-
τύπον	tu/pon	none-found	n-s---na-
χειμάρρου	xei/marros	none-found	n-s---mg-
χειμάρρου	xei/marros	none-found	n-s---fg-
χειμάρρου	xei/marros	none-found	n-s---ng-
χειμάρρου	xeima/rrous	none-found	n-s---mg-
χειμάρρου	xeima/rrous	none-found	n-s---fg-
χειμάρρου	xeima/rrous	none-found	n-s---ng-
χειμάρρου	xeima/rrous	none-found	n-s---mg-
χειμάρρου	xeima/rrous	none-found	n-s---fg-
χειμάρρου	xeima/rrous	none-found	n-s---ng-
ἀνέμου	a)nemo/w	none-found	v3siia---
ἀνέμου	a)nemo/w	none-found	v2spma---
ἀνέμου	a)nemo/w	none-found	v3siia---
ἀνέπεσαν	a)na/-e)/peimi	none-found	v3piia---
ἀνέπεσαν	a)na/-e)fe/zomai	none-found	v3paia---
ἀνέπεσαν	a)na/-e)fi/hmi	none-found	v3paia---
ἀνέπεσαν	a)na/-e)pie/nnumi	none-found	v3paia---
ἀποθανεῖν	a)poqnh/skw	none-found	v--ana---
ἀποθανεῖσθε	a)poqnh/skw	none-found	v2pfim---
ἀποθνῄσκει	a)poqnh/skw	none-found	v2spie---
ἀποθνῄσκει	a)poqnh/skw	none-found	v3spia---
ἀποθνῄσκειν	a)poqnh/skw	none-found	v--pna---
ἀποθάνωμεν	a)poqnh/skw	none-found	v1pasa---
ἀποθάνῃ	a)poqnh/skw	none-found	v2sase---
ἀποθάνῃ	a)poqnh/skw	none-found	v3sasa---
ἀπέθανεν	a)poqnh/skw	none-found	v3saia---
ἀπέθανον	a)poqnh/skw	none-found	v3paia---
ἀπέθανον	a)poqnh/skw	none-found	v1saia---
ἀπόκρισιν	a)/pokrisls	none-found	n-s---fa-
ἀρχιερέων	a)rxie/rews	none-found	n-p---mg-
ἄλλου	a)/llou	none-found	d--------
Ἀβραάμ	*)abraa/m	none-found	n-s---n--
Ἀνδρέας	*)andre/as	none-found	n-p---ma-
Ἀνδρέας	*)andre/as	none-found	n-s---mn-
Ἀνδρέας	*)andreu/s	none-found	n-p---ma-
Ἀνδρέου	*)andre/as	none-found	n-s---mg-
Ἀνδρέᾳ	*)andre/as	none-found	n-s---md-
ἐκαθέζετο	kata/-kaqe/zomai	none-found	v3siim---
ἐκάθητο	kata/-ka/qhmai	none-found	v3siim---
ἐνεπλήσθησαν	e)mpi/plhmi	none-found	v3paip---
ἐξεκέντησαν	e)k-kenta/w	none-found	v3piia---
ἐξεκέντησαν	e)k-kenta/w	none-found	v3paia---
ἐραύνησον	e)rauna/w	none-found	v2sama---
ἔξω	e)/ssomai	none-found	v2saie---
ἔργον	e)/rgnumi	none-found	v-sppamv-
ἔργον	e)/rgnumi	none-found	v-sppann-
ἔργον	e)/rgnumi	none-found	v-sppanv-
ἔργον	e)/rgnumi	none-found	v-sppana-
ἔργου	e)/rgnumi	none-found	v2siie---
Ἐραυνᾶτε	e)rauna/w	none-found	v2ppma---
Ἐραυνᾶτε	e)rauna/w	none-found	v2ppsa---
Ἐραυνᾶτε	e)rauna/w	none-found	v2ppia---
Ἐραυνᾶτε	e)rauna/w	none-found	v2piia---
Ἑβραϊστί	*(ebraisti/	none-found	d--------
Ἠσαΐας	*)hsai+/as	none-found	n-s---mn-
Ἠσαΐου	*)hsai+/as	none-found	n-s---mg-
ἰδεῖν	i)de/w	none-found	v--pna---
